ckpt_name,epoch,step,loss_train,loss_val,x0_err_val,lr
ckpt_e1_s1562,1,1562,1297060.83299140,1300973.35272217,781.45029449,9.999925864e-05
ckpt_e2_s3124,2,3124,1309963.01144194,1295297.49493408,788.29231399,9.999682831e-05
ckpt_e3_s4686,3,4686,1304136.18039825,1288662.93029785,757.75439286,9.99927056e-05
ckpt_e4_s6248,4,6248,1300119.20263086,1281003.36120605,755.78758991,9.99868907e-05
ckpt_e5_s7810,5,7810,1297851.80224875,1272416.75976562,750.99096942,9.99793838e-05
ckpt_e6_s9372,6,9372,1297462.05724522,1262897.26959229,767.86627793,9.997018521e-05
ckpt_e7_s10934,7,10934,1296140.76497249,1252609.57824707,743.36858213,9.995929525e-05
ckpt_e8_s12496,8,12496,1287231.24600023,1241857.39978027,725.83398390,9.994671434e-05
ckpt_e9_s14058,9,14058,1281083.55643076,1230168.47253418,754.88480633,9.993244296e-05
ckpt_e10_s15620,10,15620,1278523.73080735,1217655.97296143,768.30265418,9.991648164e-05
ckpt_e11_s17182,11,17182,1275364.94776646,1204621.21173096,761.87625813,9.989883097e-05
ckpt_e12_s18744,12,18744,1267654.68265783,1191342.68814087,716.17531377,9.987949164e-05
ckpt_e13_s20306,13,20306,1261567.88216513,1177082.92077637,665.80601874,9.985846435e-05
ckpt_e14_s21868,14,21868,1254997.61451361,1162556.21368408,701.65531391,9.983574991e-05
ckpt_e15_s23430,15,23430,1250396.77508165,1147280.11962891,607.33498621,9.981134917e-05
ckpt_e16_s24992,16,24992,1242291.21010171,1131947.02590942,698.65886202,9.978526304e-05
ckpt_e17_s26554,17,26554,1236460.58252556,1115961.77838135,662.11550826,9.97574925e-05
ckpt_e18_s28116,18,28116,1233809.40612228,1099368.20111084,637.95627707,9.972803861e-05
ckpt_e19_s29678,19,29678,1228473.98622376,1082877.93099976,613.13195232,9.969690246e-05
ckpt_e20_s31240,20,31240,1220210.38210389,1066334.81637573,661.24816409,9.966408524e-05
ckpt_e21_s32802,21,32802,1213575.90598310,1049143.06927490,630.93719003,9.962958817e-05
ckpt_e22_s34364,22,34364,1206643.47482607,1031995.91903687,616.40952164,9.959341255e-05
ckpt_e23_s35926,23,35926,1200750.02877052,1014257.14782715,587.45196578,9.955555974e-05
ckpt_e24_s37488,24,37488,1195081.25650797,996582.07574463,522.47273779,9.951603116e-05
ckpt_e25_s39050,25,39050,1186071.65990124,979176.01568604,550.44179244,9.947482831e-05
ckpt_e26_s40612,26,40612,1178196.42618193,961325.29046631,579.08222431,9.943195273e-05
ckpt_e27_s42174,27,42174,1169499.67481483,943584.39302063,559.14278343,9.938740604e-05
ckpt_e28_s43736,28,43736,1161017.06118869,925431.80503082,584.50403513,9.93411899e-05
ckpt_e29_s45298,29,45298,1152753.92257418,907290.90254974,512.19604574,9.929330607e-05
ckpt_e30_s46860,30,46860,1144571.32700676,889322.66914368,533.02410945,9.924375633e-05
ckpt_e31_s48422,31,48422,1136872.46795389,871107.79885101,466.71322681,9.919254255e-05
ckpt_e32_s49984,32,49984,1127801.69459498,853705.09967804,531.44432092,9.913966666e-05
ckpt_e33_s51546,33,51546,1118753.70776514,835915.40774155,536.17088741,9.908513065e-05
ckpt_e34_s53108,34,53108,1110629.96392740,817929.16642761,499.78244317,9.902893657e-05
ckpt_e35_s54670,35,54670,1102731.39230923,800055.69358063,430.87387823,9.897108653e-05
ckpt_e36_s56232,36,56232,1093755.84192087,782950.18017960,478.49755278,9.891158271e-05
ckpt_e37_s57794,37,57794,1085195.91796448,765339.21733475,458.70324735,9.885042735e-05
ckpt_e38_s59356,38,59356,1076370.32874610,748109.27597809,410.94331516,9.878762274e-05
ckpt_e39_s60918,39,60918,1068175.25219632,730829.74974823,434.58557426,9.872317124e-05
ckpt_e40_s62480,40,62480,1059196.43778600,713957.03274059,424.09388222,9.865707529e-05
ckpt_e41_s64042,41,64042,1050832.68834917,696880.81219482,423.63313656,9.858933737e-05
ckpt_e42_s65604,42,65604,1043666.31568317,679546.76256275,373.42493351,9.851996003e-05
ckpt_e43_s67166,43,67166,1035776.02966147,663308.11994934,372.07513307,9.844894586e-05
ckpt_e44_s68728,44,68728,1026868.50879238,647532.38344574,380.28742317,9.837629756e-05
ckpt_e45_s70290,45,70290,1018766.83281425,631276.80112076,391.56793531,9.830201784e-05
ckpt_e46_s71852,46,71852,1010327.61960771,615411.68008184,373.60089095,9.822610951e-05
