ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,3054180.331796,2935164.266800,292.009552,2.984709,1448.856079,548.419067,0.00010000
ckpt_e2_s3124.safetensors,2,3124,3136448.608171,2923025.796320,289.045746,2.240588,1445.658691,544.650696,0.00010000
ckpt_e3_s4686.safetensors,3,4686,3067196.168021,2908744.324000,287.373871,2.116363,1441.554443,542.222656,0.00009999
ckpt_e4_s6248.safetensors,4,6248,3066066.382477,2892100.726200,285.797516,2.327533,1436.688965,539.820496,0.00009999
ckpt_e5_s7810.safetensors,5,7810,3058632.652241,2873714.095700,283.996429,2.527989,1431.318848,537.104919,0.00009998
ckpt_e6_s9372.safetensors,6,9372,3074702.979209,2853231.732320,281.663147,2.356898,1425.388916,533.651855,0.00009997
ckpt_e7_s10934.safetensors,7,10934,3063517.399258,2831052.076700,279.002472,2.079341,1418.974609,529.694214,0.00009996
ckpt_e8_s12496.safetensors,8,12496,2896463.637904,2808005.715360,277.271637,2.838393,1412.103516,526.894714,0.00009995
ckpt_e9_s14058.safetensors,9,14058,2945297.426085,2782579.772360,273.952972,2.160290,1404.749512,522.040771,0.00009993
ckpt_e10_s15620.safetensors,10,15620,3001534.661932,2755748.287360,271.244293,2.335169,1396.812134,517.910217,0.00009992
ckpt_e11_s17182.safetensors,11,17182,2975489.911596,2727644.079780,268.311523,2.353568,1388.467651,513.522461,0.00009990
ckpt_e12_s18744.safetensors,12,18744,2811641.131775,2698960.785210,265.318573,2.322872,1379.916748,508.931671,0.00009988
ckpt_e13_s20306.safetensors,13,20306,2858577.399175,2667921.790450,262.089813,2.272443,1370.616455,504.042328,0.00009986
ckpt_e14_s21868.safetensors,14,21868,2783852.931284,2636544.875990,259.098297,2.477339,1361.106567,499.379730,0.00009984
ckpt_e15_s23430.safetensors,15,23430,2829087.340780,2603359.441740,255.457962,2.321439,1351.078979,493.928040,0.00009981
ckpt_e16_s24992.safetensors,16,24992,2686752.681003,2569987.073570,255.089767,5.833322,1340.367798,492.116974,0.00009979
ckpt_e17_s26554.safetensors,17,26554,2751381.994011,2535150.986710,248.372833,2.284190,1330.226685,483.048798,0.00009976
ckpt_e18_s28116.safetensors,18,28116,2877431.531047,2499109.432220,245.220322,2.908739,1318.994019,478.073792,0.00009973
