ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,79.564568,7.207645,5.741250,4.259378,0.00010000,37.776606
ckpt_e1_s2000.safetensors,1,2000,58.786216,5.504616,3.658339,4.684992,0.00010000,37.776606
ckpt_e1_s3000.safetensors,1,3000,49.714596,5.141534,3.213353,4.805600,0.00010000,37.776606
ckpt_e1_s4000.safetensors,1,4000,44.521723,5.253664,3.466212,4.797841,0.00010000,37.776606
ckpt_e1_s5000.safetensors,1,5000,41.156543,4.777739,2.810601,4.868127,0.00009999,37.776606
ckpt_e1_s6000.safetensors,1,6000,38.843508,4.761645,2.802902,4.883706,0.00009999,37.776606
ckpt_e1_s7000.safetensors,1,7000,37.115445,4.777386,2.841945,4.869127,0.00009999,37.776606
ckpt_e1_s8000.safetensors,1,8000,35.798538,4.707514,2.772331,4.874883,0.00009998,37.776606
ckpt_e1_s9000.safetensors,1,9000,34.759444,4.698628,2.761148,4.864839,0.00009998,37.776606
ckpt_e1_s10000.safetensors,1,10000,33.861487,4.737957,2.794056,4.863985,0.00009997,37.776606
ckpt_e1_s11000.safetensors,1,11000,33.158221,4.738171,2.807794,4.863601,0.00009997,37.776606
ckpt_e1_s12000.safetensors,1,12000,32.504460,4.599969,2.620297,4.899068,0.00009996,37.776606
ckpt_e1_s13000.safetensors,1,13000,31.915197,4.582618,2.612113,4.891755,0.00009995,37.776606
ckpt_e1_s14000.safetensors,1,14000,31.387830,4.229136,2.165971,4.971668,0.00009995,37.776606
ckpt_e1_s15000.safetensors,1,15000,30.887203,4.813373,2.932625,4.802654,0.00009994,37.776606
ckpt_e1_s16000.safetensors,1,16000,30.415671,4.243252,2.200502,4.966224,0.00009993,37.776606
ckpt_e1_s17000.safetensors,1,17000,30.022154,4.298274,2.270270,4.950730,0.00009992,37.776606
ckpt_e1_s18000.safetensors,1,18000,29.643799,4.240009,2.191692,4.976285,0.00009991,37.776606
ckpt_e1_s19000.safetensors,1,19000,29.291053,4.333146,2.317460,4.929526,0.00009990,37.776606
ckpt_e1_s20000.safetensors,1,20000,28.982687,4.040882,1.919130,5.035557,0.00009989,37.776606
ckpt_e1_s21000.safetensors,1,21000,28.686774,3.912642,1.780377,5.055776,0.00009988,37.776606
ckpt_e1_s22000.safetensors,1,22000,28.399097,4.236711,2.186460,4.972628,0.00009986,37.776606
ckpt_e1_s23000.safetensors,1,23000,28.143366,4.122991,2.038076,5.003138,0.00009985,37.776606
ckpt_e1_s24000.safetensors,1,24000,27.909963,3.916684,1.792939,5.046868,0.00009984,37.776606
ckpt_e1_s25000.safetensors,1,25000,27.671022,4.177830,2.125234,4.965511,0.00009983,37.776606
ckpt_e1_s26000.safetensors,1,26000,27.454162,4.275077,2.242080,4.938995,0.00009981,37.776606
ckpt_e1_s27000.safetensors,1,27000,27.260541,3.926451,1.746854,5.065862,0.00009980,37.776606
ckpt_e1_s28000.safetensors,1,28000,27.072590,4.060681,1.954672,5.019436,0.00009978,37.776606
ckpt_e1_s29000.safetensors,1,29000,26.890957,3.927258,1.797142,5.053351,0.00009976,37.776606
ckpt_e1_s30000.safetensors,1,30000,26.714081,3.878863,1.755421,5.052629,0.00009975,37.776606
ckpt_e1_s31000.safetensors,1,31000,26.553521,3.785159,1.649014,5.073291,0.00009973,37.776606
ckpt_e1_s32000.safetensors,1,32000,26.397781,4.119128,2.076646,4.962546,0.00009971,37.776606
ckpt_e1_s33000.safetensors,1,33000,26.242401,3.832583,1.663562,5.080044,0.00009970,37.776606
ckpt_e1_s34000.safetensors,1,34000,26.103993,3.791505,1.631897,5.076741,0.00009968,37.776606
ckpt_e1_s35000.safetensors,1,35000,25.969570,3.869307,1.767420,5.043283,0.00009966,37.776606
ckpt_e1_s36000.safetensors,1,36000,25.833586,3.797591,1.649952,5.077377,0.00009964,37.776606
ckpt_e1_s37000.safetensors,1,37000,25.706954,3.818918,1.672403,5.057005,0.00009962,37.776606
ckpt_e2_s38000.safetensors,2,38000,14.183845,3.849190,1.741630,5.042085,0.00009960,37.776606
ckpt_e2_s39000.safetensors,2,39000,14.028317,3.828580,1.697233,5.051753,0.00009957,37.776606
ckpt_e2_s40000.safetensors,2,40000,13.909948,3.791234,1.652004,5.061524,0.00009955,37.776606
ckpt_e2_s41000.safetensors,2,41000,13.851206,3.830003,1.666361,5.063303,0.00009953,37.776606
ckpt_e2_s42000.safetensors,2,42000,13.813534,3.755453,1.634589,5.064845,0.00009951,37.776606
ckpt_e2_s43000.safetensors,2,43000,13.777704,3.849075,1.728223,5.029531,0.00009948,37.776606
ckpt_e2_s44000.safetensors,2,44000,13.713016,3.748583,1.605870,5.064590,0.00009946,37.776606
ckpt_e2_s45000.safetensors,2,45000,13.677056,3.801690,1.681613,5.040188,0.00009943,37.776606
ckpt_e2_s46000.safetensors,2,46000,13.642017,3.787754,1.669577,5.042379,0.00009941,37.776606
ckpt_e2_s47000.safetensors,2,47000,13.598471,3.833716,1.696666,5.049259,0.00009938,37.776606
ckpt_e2_s48000.safetensors,2,48000,13.577904,3.785498,1.642206,5.063301,0.00009936,37.776606
ckpt_e2_s49000.safetensors,2,49000,13.544530,3.898316,1.791283,5.021684,0.00009933,37.776606
ckpt_e2_s50000.safetensors,2,50000,13.493601,3.690421,1.565591,5.066435,0.00009930,37.776606
ckpt_e2_s51000.safetensors,2,51000,13.462812,3.695167,1.581109,5.063000,0.00009927,37.776606
ckpt_e2_s52000.safetensors,2,52000,13.423653,3.790370,1.683811,5.038580,0.00009924,37.776606
ckpt_e2_s53000.safetensors,2,53000,13.394008,3.777959,1.714158,5.015299,0.00009921,37.776606
ckpt_e2_s54000.safetensors,2,54000,13.361529,3.754059,1.657967,5.037420,0.00009918,37.776606
ckpt_e2_s55000.safetensors,2,55000,13.330670,3.729941,1.642397,5.048705,0.00009915,37.776606
ckpt_e2_s56000.safetensors,2,56000,13.299095,3.780933,1.684564,5.018874,0.00009912,37.776606
ckpt_e2_s57000.safetensors,2,57000,13.250865,3.677818,1.538814,5.060046,0.00009909,37.776606
ckpt_e2_s58000.safetensors,2,58000,13.231215,3.689203,1.594234,5.044894,0.00009906,37.776606
ckpt_e2_s59000.safetensors,2,59000,13.199165,3.682535,1.561741,5.047000,0.00009903,37.776606
ckpt_e2_s60000.safetensors,2,60000,13.164952,3.728018,1.657428,5.022268,0.00009899,37.776606
ckpt_e2_s61000.safetensors,2,61000,13.136664,3.699541,1.586087,5.036013,0.00009896,37.776606
ckpt_e2_s62000.safetensors,2,62000,13.100689,3.672776,1.561445,5.061298,0.00009893,37.776606
ckpt_e2_s63000.safetensors,2,63000,13.066015,3.738032,1.651002,5.021092,0.00009889,37.776606
ckpt_e2_s64000.safetensors,2,64000,13.043533,3.703227,1.556488,5.071503,0.00009885,37.776606
ckpt_e2_s65000.safetensors,2,65000,13.006095,3.675124,1.571646,5.049178,0.00009882,37.776606
ckpt_e2_s66000.safetensors,2,66000,12.977537,3.607678,1.494498,5.062853,0.00009878,37.776606
ckpt_e2_s67000.safetensors,2,67000,12.944694,3.815152,1.750941,5.011602,0.00009875,37.776606
ckpt_e2_s68000.safetensors,2,68000,12.918311,3.579723,1.484049,5.053519,0.00009871,37.776606
ckpt_e2_s69000.safetensors,2,69000,12.884534,3.726335,1.618394,5.033246,0.00009867,37.776606
ckpt_e2_s70000.safetensors,2,70000,12.858809,3.575782,1.462454,5.061877,0.00009863,37.776606
ckpt_e2_s71000.safetensors,2,71000,12.829592,3.591361,1.500120,5.050034,0.00009859,37.776606
ckpt_e2_s72000.safetensors,2,72000,12.800369,3.713588,1.627058,5.027700,0.00009855,37.776606
ckpt_e2_s73000.safetensors,2,73000,12.771990,3.659561,1.594198,5.024934,0.00009851,37.776606
ckpt_e2_s74000.safetensors,2,74000,12.742445,3.649345,1.591094,5.033754,0.00009847,37.776606
