ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,137.087860,15.555997,15.513496,2.885703,0.00001000,37.776606
ckpt_e1_s2000.safetensors,1,2000,134.749575,15.454354,15.380717,2.931120,0.00001000,37.776606
ckpt_e1_s3000.safetensors,1,3000,133.621277,15.418258,15.337545,2.968385,0.00001000,37.776606
ckpt_e1_s4000.safetensors,1,4000,132.953980,15.405572,15.305791,3.009673,0.00001000,37.776606
ckpt_e1_s5000.safetensors,1,5000,132.479775,15.381992,15.310803,3.085258,0.00001000,37.776606
ckpt_e1_s6000.safetensors,1,6000,132.111889,15.383762,15.297669,3.036748,0.00001000,37.776606
ckpt_e1_s7000.safetensors,1,7000,131.821709,15.366869,15.288845,3.118444,0.00001000,37.776606
ckpt_e1_s8000.safetensors,1,8000,131.590970,15.381691,15.299164,3.114069,0.00001000,37.776606
ckpt_e1_s9000.safetensors,1,9000,131.385916,15.356117,15.301151,3.047827,0.00001000,37.776606
ckpt_e1_s10000.safetensors,1,10000,131.185361,15.308242,15.319029,3.126214,0.00001000,37.776606
ckpt_e1_s11000.safetensors,1,11000,130.975010,15.286472,15.342131,3.124609,0.00001000,37.776606
ckpt_e1_s12000.safetensors,1,12000,130.761591,15.253414,15.319798,3.117943,0.00001000,37.776606
ckpt_e1_s13000.safetensors,1,13000,130.556014,15.250746,15.327402,3.174096,0.00001000,37.776606
ckpt_e1_s14000.safetensors,1,14000,130.366222,15.248525,15.300035,3.139688,0.00000999,37.776606
ckpt_e1_s15000.safetensors,1,15000,130.188290,15.247689,15.310882,3.188307,0.00000999,37.776606
ckpt_e1_s16000.safetensors,1,16000,130.035537,15.252289,15.316979,3.248867,0.00000999,37.776606
ckpt_e1_s17000.safetensors,1,17000,129.887975,15.237904,15.309742,3.238227,0.00000999,37.776606
ckpt_e1_s18000.safetensors,1,18000,129.756946,15.228552,15.305564,3.201462,0.00000999,37.776606
ckpt_e1_s19000.safetensors,1,19000,129.639187,15.225444,15.292723,3.183485,0.00000999,37.776606
ckpt_e1_s20000.safetensors,1,20000,129.526707,15.229130,15.312445,3.255850,0.00000999,37.776606
ckpt_e1_s21000.safetensors,1,21000,129.428015,15.223527,15.277411,3.211158,0.00000999,37.776606
ckpt_e1_s22000.safetensors,1,22000,129.336319,15.234520,15.303303,3.250871,0.00000999,37.776606
ckpt_e1_s23000.safetensors,1,23000,129.251123,15.219440,15.260481,3.097104,0.00000999,37.776606
ckpt_e1_s24000.safetensors,1,24000,129.173366,15.229335,15.300109,3.227807,0.00000998,37.776606
ckpt_e1_s25000.safetensors,1,25000,129.102378,15.233303,15.279361,3.254287,0.00000998,37.776606
ckpt_e1_s26000.safetensors,1,26000,129.034212,15.230023,15.272161,3.227024,0.00000998,37.776606
ckpt_e1_s27000.safetensors,1,27000,128.972382,15.230887,15.295021,3.222297,0.00000998,37.776606
ckpt_e1_s28000.safetensors,1,28000,128.913816,15.223450,15.267948,3.149788,0.00000998,37.776606
ckpt_e1_s29000.safetensors,1,29000,128.858583,15.222622,15.271585,3.196403,0.00000998,37.776606
ckpt_e1_s30000.safetensors,1,30000,128.805070,15.224798,15.279799,3.195406,0.00000997,37.776606
ckpt_e1_s31000.safetensors,1,31000,128.757026,15.222378,15.275526,3.223083,0.00000997,37.776606
ckpt_e1_s32000.safetensors,1,32000,128.708975,15.225099,15.290566,3.232169,0.00000997,37.776606
ckpt_e1_s33000.safetensors,1,33000,128.669051,15.227302,15.288610,3.274767,0.00000997,37.776606
ckpt_e1_s34000.safetensors,1,34000,128.626333,15.222399,15.281634,3.153684,0.00000997,37.776606
ckpt_e1_s35000.safetensors,1,35000,128.585847,15.219150,15.278039,3.220929,0.00000997,37.776606
ckpt_e1_s36000.safetensors,1,36000,128.549838,15.223153,15.262960,3.172892,0.00000996,37.776606
ckpt_e1_s37000.safetensors,1,37000,128.513317,15.219531,15.264399,3.163864,0.00000996,37.776606
ckpt_e2_s38000.safetensors,2,38000,110.084050,15.220476,15.300371,3.197796,0.00000996,37.776606
ckpt_e2_s39000.safetensors,2,39000,110.029567,15.245364,15.319428,3.226958,0.00000996,37.776606
ckpt_e2_s40000.safetensors,2,40000,110.040955,15.221947,15.310120,3.239383,0.00000996,37.776606
ckpt_e2_s41000.safetensors,2,41000,110.028694,15.222157,15.310304,3.148621,0.00000995,37.776606
ckpt_e2_s42000.safetensors,2,42000,110.024417,15.227397,15.316664,3.166026,0.00000995,37.776606
ckpt_e2_s43000.safetensors,2,43000,110.014978,15.220181,15.330105,3.217966,0.00000995,37.776606
ckpt_e2_s44000.safetensors,2,44000,110.018464,15.218847,15.297551,3.164482,0.00000995,37.776606
ckpt_e2_s45000.safetensors,2,45000,110.010718,15.235450,15.306952,3.218761,0.00000994,37.776606
ckpt_e2_s46000.safetensors,2,46000,110.005301,15.226614,15.309158,3.175750,0.00000994,37.776606
ckpt_e2_s47000.safetensors,2,47000,110.001805,15.219316,15.311712,3.205304,0.00000994,37.776606
ckpt_e2_s48000.safetensors,2,48000,109.996015,15.219011,15.313423,3.148476,0.00000994,37.776606
ckpt_e2_s49000.safetensors,2,49000,109.998447,15.215519,15.312873,3.162200,0.00000993,37.776606
ckpt_e2_s50000.safetensors,2,50000,109.991725,15.238780,15.303137,3.180908,0.00000993,37.776606
ckpt_e2_s51000.safetensors,2,51000,109.985153,15.219714,15.329342,3.163006,0.00000993,37.776606
ckpt_e2_s52000.safetensors,2,52000,109.987650,15.222444,15.319811,3.158983,0.00000992,37.776606
ckpt_e2_s53000.safetensors,2,53000,109.981837,15.225337,15.281613,3.139560,0.00000992,37.776606
ckpt_e2_s54000.safetensors,2,54000,109.983386,15.223375,15.322981,3.153495,0.00000992,37.776606
ckpt_e2_s55000.safetensors,2,55000,109.978016,15.225865,15.307091,3.204855,0.00000992,37.776606
ckpt_e2_s56000.safetensors,2,56000,109.980267,15.224666,15.293440,3.104835,0.00000991,37.776606
ckpt_e2_s57000.safetensors,2,57000,109.974549,15.224030,15.318806,3.226067,0.00000991,37.776606
ckpt_e2_s58000.safetensors,2,58000,109.975280,15.213295,15.297005,3.150656,0.00000991,37.776606
ckpt_e2_s59000.safetensors,2,59000,109.971897,15.221719,15.322787,3.217566,0.00000990,37.776606
ckpt_e2_s60000.safetensors,2,60000,109.967004,15.222032,15.322911,3.198768,0.00000990,37.776606
ckpt_e2_s61000.safetensors,2,61000,109.968673,15.217978,15.303958,3.138492,0.00000990,37.776606
ckpt_e2_s62000.safetensors,2,62000,109.967690,15.224296,15.300735,3.183428,0.00000989,37.776606
ckpt_e2_s63000.safetensors,2,63000,109.965453,15.215848,15.296147,3.138921,0.00000989,37.776606
ckpt_e2_s64000.safetensors,2,64000,109.962909,15.218275,15.310615,3.187800,0.00000989,37.776606
ckpt_e2_s65000.safetensors,2,65000,109.962523,15.211488,15.290615,3.148938,0.00000988,37.776606
ckpt_e2_s66000.safetensors,2,66000,109.958860,15.227392,15.325342,3.207576,0.00000988,37.776606
ckpt_e2_s67000.safetensors,2,67000,109.959161,15.225895,15.323419,3.167714,0.00000987,37.776606
