ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,72.020288,7.279045,5.976784,4.270247,0.00003000,37.776606
ckpt_e1_s2000.safetensors,1,2000,55.000698,5.897273,4.301906,4.590542,0.00003000,37.776606
ckpt_e1_s3000.safetensors,1,3000,46.760793,5.350807,3.649691,4.712117,0.00003000,37.776606
ckpt_e1_s4000.safetensors,1,4000,41.950669,4.907066,3.031979,4.793445,0.00002999,37.776606
ckpt_e1_s5000.safetensors,1,5000,38.716166,4.651612,2.723007,4.830715,0.00002999,37.776606
ckpt_e1_s6000.safetensors,1,6000,36.445556,4.875552,3.095741,4.802804,0.00002998,37.776606
ckpt_e1_s7000.safetensors,1,7000,34.771270,4.526656,2.582153,4.859057,0.00002998,37.776606
ckpt_e1_s8000.safetensors,1,8000,33.440114,4.499751,2.581294,4.854326,0.00002997,37.776606
ckpt_e1_s9000.safetensors,1,9000,32.381555,4.478947,2.556242,4.836133,0.00002996,37.776606
ckpt_e1_s10000.safetensors,1,10000,31.510720,4.521204,2.628335,4.837951,0.00002995,37.776606
ckpt_e1_s11000.safetensors,1,11000,30.783977,4.532637,2.648685,4.849226,0.00002994,37.776606
ckpt_e1_s12000.safetensors,1,12000,30.120893,4.359232,2.361923,4.896697,0.00002993,37.776606
ckpt_e1_s13000.safetensors,1,13000,29.535582,4.160866,2.140212,4.934782,0.00002992,37.776606
ckpt_e1_s14000.safetensors,1,14000,29.004956,4.126455,2.077089,4.947632,0.00002991,37.776606
ckpt_e1_s15000.safetensors,1,15000,28.519704,4.114445,2.084712,4.952971,0.00002989,37.776606
ckpt_e1_s16000.safetensors,1,16000,28.085823,4.229576,2.204837,4.915339,0.00002988,37.776606
ckpt_e1_s17000.safetensors,1,17000,27.675506,4.023585,1.960047,4.971603,0.00002986,37.776606
ckpt_e1_s18000.safetensors,1,18000,27.332446,4.007318,1.956772,4.965115,0.00002984,37.776606
ckpt_e1_s19000.safetensors,1,19000,27.001618,3.928137,1.852818,4.997359,0.00002983,37.776606
ckpt_e1_s20000.safetensors,1,20000,26.693638,3.959311,1.911763,4.973567,0.00002981,37.776606
ckpt_e1_s21000.safetensors,1,21000,26.407710,3.969005,1.874883,4.993884,0.00002979,37.776606
ckpt_e1_s22000.safetensors,1,22000,26.157915,3.972801,1.908670,4.977429,0.00002977,37.776606
ckpt_e1_s23000.safetensors,1,23000,25.920243,3.924876,1.843272,4.999300,0.00002975,37.776606
ckpt_e1_s24000.safetensors,1,24000,25.684288,3.878535,1.783114,5.017900,0.00002972,37.776606
ckpt_e1_s25000.safetensors,1,25000,25.478224,3.794055,1.691347,5.035446,0.00002970,37.776606
ckpt_e1_s26000.safetensors,1,26000,25.281176,3.784842,1.699836,5.030222,0.00002967,37.776606
ckpt_e1_s27000.safetensors,1,27000,25.081480,3.939453,1.872151,4.979535,0.00002965,37.776606
ckpt_e1_s28000.safetensors,1,28000,24.907633,3.804682,1.694805,5.033093,0.00002962,37.776606
