ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e1_s1000.safetensors,1,1000,85.318913,3.888057,2.687185,3.547816,0.00010000
ckpt_e1_s2000.safetensors,1,2000,66.471028,3.577087,2.244985,3.720321,0.00010000
ckpt_e1_s3000.safetensors,1,3000,58.226310,2.914302,1.517092,3.807300,0.00010000
ckpt_e1_s4000.safetensors,1,4000,53.055748,3.025628,1.683331,3.757778,0.00010000
ckpt_e1_s5000.safetensors,1,5000,49.633914,2.769929,1.398976,3.805712,0.00009999
ckpt_e1_s6000.safetensors,1,6000,47.321030,2.890352,1.521533,3.782298,0.00009999
ckpt_e1_s7000.safetensors,1,7000,45.532293,2.790995,1.416881,3.805627,0.00009999
ckpt_e1_s8000.safetensors,1,8000,44.165597,2.720943,1.367901,3.790128,0.00009998
ckpt_e1_s9000.safetensors,1,9000,43.052696,2.667621,1.264312,3.832010,0.00009998
ckpt_e1_s10000.safetensors,1,10000,42.066878,2.726682,1.350456,3.792843,0.00009997
ckpt_e1_s11000.safetensors,1,11000,41.283633,2.691071,1.326162,3.801610,0.00009997
ckpt_e1_s12000.safetensors,1,12000,40.617264,2.697471,1.318810,3.798655,0.00009996
ckpt_e1_s13000.safetensors,1,13000,40.062702,2.642493,1.253384,3.811619,0.00009995
ckpt_e1_s14000.safetensors,1,14000,39.565361,2.618673,1.252043,3.813684,0.00009995
ckpt_e1_s15000.safetensors,1,15000,39.128429,2.541129,1.154713,3.831264,0.00009994
ckpt_e1_s16000.safetensors,1,16000,38.722480,2.565251,1.207090,3.802749,0.00009993
ckpt_e1_s17000.safetensors,1,17000,38.365888,2.586344,1.221087,3.796870,0.00009992
ckpt_e1_s18000.safetensors,1,18000,38.009668,2.587221,1.196421,3.808386,0.00009991
ckpt_e1_s19000.safetensors,1,19000,37.723764,2.560949,1.185282,3.806228,0.00009990
ckpt_e1_s20000.safetensors,1,20000,37.447605,2.478744,1.100636,3.834932,0.00009989
ckpt_e1_s21000.safetensors,1,21000,37.161211,2.586567,1.199430,3.809603,0.00009988
