ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,4180.911932,9.096193,6.501276,12.956169,11.297330,0.00009998
ckpt_e2_s3124.safetensors,2,3124,487.951534,6.279821,5.193507,3.512944,6.541839,0.00009991
ckpt_e3_s4686.safetensors,3,4686,984.978673,10.537323,5.137926,25.540783,15.172175,0.00009980
ckpt_e4_s6248.safetensors,4,6248,371.937675,6.619401,4.334500,8.897753,8.069078,0.00009963
ckpt_e5_s7810.safetensors,5,7810,1060.250268,6.390572,3.958892,10.464030,7.998430,0.00009943
ckpt_e6_s9372.safetensors,6,9372,926.681743,5.313384,3.856056,4.953496,5.978707,0.00009917
ckpt_e7_s10934.safetensors,7,10934,198.402897,7.119526,4.024532,12.951264,9.498716,0.00009887
ckpt_e8_s12496.safetensors,8,12496,345.974367,9.510703,3.653196,26.667091,14.383419,0.00009852
ckpt_e9_s14058.safetensors,9,14058,498.025517,6.413604,3.528648,13.121427,8.464063,0.00009813
ckpt_e10_s15620.safetensors,10,15620,885.378725,4.899676,3.495512,4.722318,5.460903,0.00009769
ckpt_e11_s17182.safetensors,11,17182,260.701612,4.587079,3.474069,3.525544,4.861843,0.00009721
ckpt_e12_s18744.safetensors,12,18744,372.674314,4.876693,3.417586,5.041577,5.471878,0.00009668
ckpt_e13_s20306.safetensors,13,20306,424.302443,4.746136,3.383607,4.692898,5.303206,0.00009611
ckpt_e14_s21868.safetensors,14,21868,208.262177,6.103949,3.340854,13.939392,8.073893,0.00009549
ckpt_e15_s23430.safetensors,15,23430,224.861794,4.388052,3.300310,3.455749,4.617683,0.00009484
ckpt_e16_s24992.safetensors,16,24992,601.612811,5.182005,3.387730,6.690316,6.149778,0.00009414
ckpt_e17_s26554.safetensors,17,26554,55.359942,4.857529,3.248039,5.680292,5.499290,0.00009340
ckpt_e18_s28116.safetensors,18,28116,183.814481,4.298837,3.213930,3.439953,4.511132,0.00009262
ckpt_e19_s29678.safetensors,19,29678,225.458552,8.208987,3.374060,27.345865,12.473890,0.00009180
ckpt_e20_s31240.safetensors,20,31240,155.200961,4.337147,3.198088,3.552993,4.546550,0.00009094
ckpt_e21_s32802.safetensors,21,32802,154.282059,4.511782,3.224015,4.322537,4.998087,0.00009005
ckpt_e22_s34364.safetensors,22,34364,129.658284,4.389241,3.253665,3.591166,4.639513,0.00008911
ckpt_e23_s35926.safetensors,23,35926,101.328678,5.623033,3.169248,9.620626,7.140621,0.00008814
ckpt_e24_s37488.safetensors,24,37488,105.377344,4.349016,3.174281,3.809492,4.640231,0.00008714
