ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,448.151174,97.388477,6.632589,5.251777,5.203913,7.213733,0.00010000
ckpt_e2_s3124.safetensors,2,3124,143.142180,58.433731,5.298389,4.214597,3.655046,5.535059,0.00010000
ckpt_e3_s4686.safetensors,3,4686,151.405854,45.960673,4.648065,3.705664,3.246240,4.779895,0.00009999
ckpt_e4_s6248.safetensors,4,6248,78.502103,44.835242,4.555651,3.616849,3.280718,4.738734,0.00009999
ckpt_e5_s7810.safetensors,5,7810,212.045743,43.526974,4.377442,3.451489,3.354355,4.546454,0.00009998
ckpt_e6_s9372.safetensors,6,9372,47.412257,63.087240,4.558297,3.367063,4.934446,5.070661,0.00009997
ckpt_e7_s10934.safetensors,7,10934,133.831473,49.206268,4.365818,3.318033,3.982189,4.709784,0.00009996
ckpt_e8_s12496.safetensors,8,12496,105.417972,54.412640,4.427396,3.329311,4.381243,4.860153,0.00009995
ckpt_e9_s14058.safetensors,9,14058,121.294262,535.243197,7.532409,3.858398,18.518824,10.433225,0.00009993
ckpt_e10_s15620.safetensors,10,15620,78.952281,43.579352,4.200467,3.233606,3.617960,4.442512,0.00009992
ckpt_e11_s17182.safetensors,11,17182,118.707583,38.252805,4.050965,3.197044,3.194393,4.189911,0.00009990
ckpt_e12_s18744.safetensors,12,18744,74.474649,46.107643,4.173978,3.175212,3.888037,4.509346,0.00009988
ckpt_e13_s20306.safetensors,13,20306,105.302710,38.171589,4.043745,3.178478,3.202063,4.190463,0.00009986
ckpt_e14_s21868.safetensors,14,21868,59.558407,39.717962,4.088783,3.196321,3.336552,4.265908,0.00009984
ckpt_e15_s23430.safetensors,15,23430,75.474921,48.637624,4.194720,3.169819,4.124032,4.545833,0.00009981
ckpt_e16_s24992.safetensors,16,24992,71.409308,177.611132,5.396211,3.194523,10.149601,6.854278,0.00009979
ckpt_e17_s26554.safetensors,17,26554,52.809472,77.228357,4.539216,3.153349,5.970708,5.230049,0.00009976
ckpt_e18_s28116.safetensors,18,28116,66.291827,181.149012,5.366101,3.261374,10.231156,6.804336,0.00009973
ckpt_e19_s29678.safetensors,19,29678,42.678110,43.395362,4.114072,3.161111,3.691249,4.401761,0.00009970
ckpt_e20_s31240.safetensors,20,31240,58.843288,57.836565,4.294650,3.140606,4.788305,4.824107,0.00009966
ckpt_e21_s32802.safetensors,21,32802,48.710742,37.312588,3.957134,3.103341,3.212866,4.109854,0.00009963
ckpt_e22_s34364.safetensors,22,34364,53.481471,38.673128,3.970116,3.090642,3.351566,4.163610,0.00009959
ckpt_e23_s35926.safetensors,23,35926,47.763143,36.543868,3.939196,3.104471,3.149737,4.057663,0.00009956
ckpt_e24_s37488.safetensors,24,37488,46.378035,36.990814,3.924373,3.075859,3.213561,4.079585,0.00009952
ckpt_e25_s39050.safetensors,25,39050,62.318407,36.391415,3.932444,3.104361,3.138215,4.052168,0.00009947
ckpt_e26_s40612.safetensors,26,40612,43.584419,43.844093,4.057077,3.094179,3.808336,4.341998,0.00009943
ckpt_e27_s42174.safetensors,27,42174,48.107412,42.702304,4.029018,3.093035,3.728750,4.272954,0.00009939
ckpt_e28_s43736.safetensors,28,43736,45.309985,38.257943,3.953119,3.086930,3.330791,4.132163,0.00009934
ckpt_e29_s45298.safetensors,29,45298,50.076861,36.093299,3.902739,3.074823,3.137440,4.017296,0.00009929
