ckpt_name,epoch,step,loss_test,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s390.safetensors,1,390,185.005954,124.892940,8.381671,7.946837,2.702562,8.311917,0.00010000
ckpt_e2_s780.safetensors,2,780,120.205764,89.280509,6.648490,5.932979,2.946187,6.546873,0.00010000
ckpt_e3_s1170.safetensors,3,1170,90.397867,68.282366,5.522580,4.601877,3.076328,5.414804,0.00009999
ckpt_e4_s1560.safetensors,4,1560,70.779036,56.516945,4.871624,3.915691,3.194355,4.742826,0.00009999
ckpt_e5_s1950.safetensors,5,1950,59.541961,48.287853,4.241413,3.197220,3.369227,4.056802,0.00009998
ckpt_e6_s2340.safetensors,6,2340,52.939340,44.109042,4.001790,2.942387,3.391750,3.794716,0.00009997
ckpt_e7_s2730.safetensors,7,2730,47.587509,41.040500,3.728691,2.601597,3.465185,3.512531,0.00009996
ckpt_e8_s3120.safetensors,8,3120,44.600735,39.847433,3.713575,2.604410,3.462790,3.529904,0.00009995
ckpt_e9_s3510.safetensors,9,3510,42.809750,38.577624,3.627663,2.495337,3.460178,3.411443,0.00009994
ckpt_e10_s3900.safetensors,10,3900,41.380293,37.535056,3.507461,2.363379,3.499667,3.294809,0.00009992
ckpt_e11_s4290.safetensors,11,4290,40.117596,38.632885,3.746012,2.605451,3.447094,3.580496,0.00009990
ckpt_e12_s4680.safetensors,12,4680,39.154274,36.561268,3.439649,2.297577,3.504462,3.229791,0.00009988
ckpt_e13_s5070.safetensors,13,5070,38.947637,36.380709,3.450291,2.310228,3.494250,3.234925,0.00009986
ckpt_e14_s5460.safetensors,14,5460,38.545025,35.725372,3.319999,2.126463,3.542197,3.081938,0.00009984
ckpt_e15_s5850.safetensors,15,5850,37.369760,35.272016,3.275965,2.097104,3.541489,3.016582,0.00009982
ckpt_e16_s6240.safetensors,16,6240,37.284776,34.826875,3.230084,2.058928,3.534414,2.971042,0.00009979
ckpt_e17_s6630.safetensors,17,6630,33.585393,34.654374,3.209959,2.035775,3.538964,2.937507,0.00009976
ckpt_e18_s7020.safetensors,18,7020,33.801744,34.605220,3.207452,2.029473,3.541487,2.936211,0.00009973
ckpt_e19_s7410.safetensors,19,7410,32.994042,34.567769,3.211217,2.033960,3.538314,2.947162,0.00009970
ckpt_e20_s7800.safetensors,20,7800,32.827877,34.718753,3.266582,2.112127,3.516578,3.025430,0.00009967
ckpt_e21_s8190.safetensors,21,8190,32.787561,34.778326,3.278207,2.125777,3.512896,3.035043,0.00009964
ckpt_e22_s8580.safetensors,22,8580,32.742792,34.299229,3.179214,2.000624,3.541164,2.910382,0.00009960
ckpt_e23_s8970.safetensors,23,8970,32.473020,34.366976,3.198646,2.033030,3.535960,2.933076,0.00009956
ckpt_e24_s9360.safetensors,24,9360,32.052360,34.401413,3.192959,2.010105,3.539631,2.916729,0.00009953
ckpt_e25_s9750.safetensors,25,9750,35.776355,34.293641,3.192686,2.025960,3.531632,2.926071,0.00009948
ckpt_e26_s10140.safetensors,26,10140,35.814846,34.649753,3.243410,2.065740,3.533106,2.989148,0.00009944
ckpt_e27_s10530.safetensors,27,10530,35.795815,34.169232,3.160156,1.984930,3.544678,2.888811,0.00009940
ckpt_e28_s10920.safetensors,28,10920,35.056047,34.394891,3.197737,2.014456,3.538358,2.932409,0.00009935
ckpt_e29_s11310.safetensors,29,11310,34.955191,34.417207,3.212628,2.036436,3.528249,2.959909,0.00009930
ckpt_e30_s11700.safetensors,30,11700,35.591537,34.869758,3.312590,2.148747,3.504124,3.082927,0.00009926
ckpt_e31_s12090.safetensors,31,12090,34.829236,34.363573,3.212066,2.043250,3.528316,2.948952,0.00009920
ckpt_e32_s12480.safetensors,32,12480,34.776434,34.219386,3.180638,2.008777,3.536116,2.915811,0.00009915
ckpt_e33_s12870.safetensors,33,12870,34.965242,34.103811,3.153108,1.971411,3.543877,2.876306,0.00009910
ckpt_e34_s13260.safetensors,34,13260,35.034632,34.067536,3.156604,1.984012,3.537969,2.880885,0.00009904
ckpt_e35_s13650.safetensors,35,13650,35.028412,34.722021,3.273541,2.110193,3.522587,3.035212,0.00009899
ckpt_e36_s14040.safetensors,36,14040,34.979072,33.971597,3.141908,1.969122,3.539930,2.865765,0.00009893
ckpt_e37_s14430.safetensors,37,14430,35.403169,33.999989,3.149837,1.979306,3.536541,2.873923,0.00009887
ckpt_e38_s14820.safetensors,38,14820,35.298432,33.889582,3.114048,1.932625,3.549119,2.823866,0.00009880
ckpt_e39_s15210.safetensors,39,15210,34.723234,33.933699,3.135689,1.961686,3.539422,2.852212,0.00009874
ckpt_e40_s15600.safetensors,40,15600,34.955669,33.875625,3.126953,1.947824,3.539593,2.845754,0.00009867
ckpt_e41_s15990.safetensors,41,15990,31.658775,33.828717,3.113190,1.937687,3.545039,2.821143,0.00009861
ckpt_e42_s16380.safetensors,42,16380,31.855778,33.864046,3.121390,1.942700,3.543977,2.836686,0.00009854
ckpt_e43_s16770.safetensors,43,16770,31.301765,33.947668,3.146846,1.978180,3.536099,2.868960,0.00009847
ckpt_e44_s17160.safetensors,44,17160,31.419096,33.816295,3.117024,1.940531,3.542850,2.827602,0.00009840
ckpt_e45_s17550.safetensors,45,17550,31.550067,33.889897,3.132016,1.958216,3.538348,2.854004,0.00009832
ckpt_e46_s17940.safetensors,46,17940,31.257697,34.931410,3.318542,2.142772,3.507479,3.086716,0.00009825
ckpt_e47_s18330.safetensors,47,18330,31.191820,33.899052,3.131705,1.962095,3.539092,2.847479,0.00009817
ckpt_e48_s18720.safetensors,48,18720,31.221563,33.883109,3.122386,1.941344,3.545145,2.834357,0.00009809
ckpt_e49_s19110.safetensors,49,19110,34.551961,34.151281,3.182914,2.010890,3.531707,2.915279,0.00009801
ckpt_e50_s19500.safetensors,50,19500,34.809415,34.139302,3.187226,2.023213,3.524152,2.922199,0.00009793
ckpt_e51_s19890.safetensors,51,19890,34.939373,33.887207,3.136295,1.961091,3.536052,2.860656,0.00009785
ckpt_e52_s20280.safetensors,52,20280,34.070536,33.857848,3.121405,1.945841,3.541281,2.826949,0.00009776
ckpt_e53_s20670.safetensors,53,20670,33.908285,33.825375,3.117205,1.939053,3.542584,2.830006,0.00009767
ckpt_e54_s21060.safetensors,54,21060,34.710307,33.727713,3.104392,1.931867,3.541210,2.812221,0.00009759
ckpt_e55_s21450.safetensors,55,21450,34.211629,34.011349,3.166920,1.994518,3.525408,2.897604,0.00009750
ckpt_e56_s21840.safetensors,56,21840,34.306547,33.749444,3.113870,1.943169,3.538892,2.824304,0.00009740
ckpt_e57_s22230.safetensors,57,22230,34.291508,33.954632,3.150053,1.973086,3.535399,2.872951,0.00009731
ckpt_e58_s22620.safetensors,58,22620,34.314516,33.808719,3.125113,1.955300,3.535995,2.842568,0.00009722
ckpt_e59_s23010.safetensors,59,23010,34.248955,33.718784,3.103187,1.927696,3.540628,2.811388,0.00009712
ckpt_e60_s23400.safetensors,60,23400,34.147685,33.728101,3.111953,1.939944,3.535812,2.824108,0.00009702
ckpt_e61_s23790.safetensors,61,23790,34.407097,33.843241,3.128624,1.952461,3.532036,2.840462,0.00009692
ckpt_e62_s24180.safetensors,62,24180,35.021736,33.724914,3.109284,1.934506,3.535504,2.826132,0.00009682
ckpt_e63_s24570.safetensors,63,24570,34.100239,33.813729,3.132867,1.961421,3.530496,2.856705,0.00009672
ckpt_e64_s24960.safetensors,64,24960,34.642105,33.964836,3.173293,2.010975,3.519283,2.919020,0.00009662
ckpt_e65_s25350.safetensors,65,25350,30.877558,34.369115,3.236021,2.073767,3.511788,2.984793,0.00009651
ckpt_e66_s25740.safetensors,66,25740,31.430648,33.668113,3.100695,1.925873,3.540183,2.807054,0.00009640
ckpt_e67_s26130.safetensors,67,26130,31.196617,33.918665,3.153960,1.976449,3.528324,2.877884,0.00009629
ckpt_e68_s26520.safetensors,68,26520,30.895114,33.920476,3.149350,1.974979,3.531140,2.865646,0.00009618
ckpt_e69_s26910.safetensors,69,26910,30.977534,33.707670,3.109560,1.938426,3.537073,2.817372,0.00009607
ckpt_e70_s27300.safetensors,70,27300,30.983528,34.069624,3.174298,1.996674,3.528124,2.912563,0.00009596
ckpt_e71_s27690.safetensors,71,27690,30.753141,33.872710,3.154373,1.993737,3.523428,2.878933,0.00009584
ckpt_e72_s28080.safetensors,72,28080,30.801708,33.638949,3.104714,1.931430,3.534850,2.810963,0.00009573
ckpt_e73_s28470.safetensors,73,28470,34.339524,33.913106,3.162690,1.999747,3.520630,2.894700,0.00009561
ckpt_e74_s28860.safetensors,74,28860,34.077668,33.673005,3.108455,1.931157,3.531960,2.822281,0.00009549
ckpt_e75_s29250.safetensors,75,29250,34.522030,33.652992,3.107123,1.933661,3.534748,2.814392,0.00009537
ckpt_e76_s29640.safetensors,76,29640,33.588539,33.646312,3.112076,1.941981,3.529153,2.823981,0.00009525
ckpt_e77_s30030.safetensors,77,30030,33.888551,33.757278,3.126178,1.953812,3.529481,2.844609,0.00009512
ckpt_e78_s30420.safetensors,78,30420,34.051149,33.786906,3.150388,1.980984,3.520563,2.875392,0.00009500
ckpt_e79_s30810.safetensors,79,30810,33.596092,33.609252,3.110174,1.943879,3.527896,2.822382,0.00009487
ckpt_e80_s31200.safetensors,80,31200,33.791474,33.624974,3.103792,1.931343,3.533473,2.811044,0.00009474
ckpt_e81_s31590.safetensors,81,31590,33.710647,33.682652,3.123107,1.959151,3.525171,2.842226,0.00009461
ckpt_e82_s31980.safetensors,82,31980,33.776370,33.718862,3.126968,1.963944,3.526145,2.834416,0.00009448
ckpt_e83_s32370.safetensors,83,32370,33.915358,33.769580,3.141848,1.974906,3.522544,2.851811,0.00009435
ckpt_e84_s32760.safetensors,84,32760,33.927707,33.592146,3.100932,1.930218,3.532116,2.808215,0.00009421
ckpt_e85_s33150.safetensors,85,33150,34.284048,33.628039,3.108703,1.936703,3.529076,2.823552,0.00009408
ckpt_e86_s33540.safetensors,86,33540,34.359911,33.546751,3.098603,1.928061,3.528044,2.806829,0.00009394
ckpt_e87_s33930.safetensors,87,33930,34.061476,33.678698,3.133186,1.974364,3.520546,2.861086,0.00009380
ckpt_e88_s34320.safetensors,88,34320,34.026989,33.685204,3.130350,1.962271,3.522866,2.848491,0.00009366
ckpt_e89_s34710.safetensors,89,34710,30.894522,33.566654,3.104105,1.936028,3.526809,2.816478,0.00009352
ckpt_e90_s35100.safetensors,90,35100,31.611057,33.642106,3.115189,1.950626,3.526212,2.820459,0.00009337
ckpt_e91_s35490.safetensors,91,35490,30.573177,33.719062,3.135881,1.973389,3.520462,2.851633,0.00009323
ckpt_e92_s35880.safetensors,92,35880,30.803301,33.531278,3.096386,1.927320,3.531107,2.799574,0.00009308
ckpt_e93_s36270.safetensors,93,36270,31.056016,33.721841,3.120453,1.941606,3.529126,2.834684,0.00009294
ckpt_e94_s36660.safetensors,94,36660,30.570867,33.592842,3.106786,1.934654,3.528456,2.813772,0.00009279
ckpt_e95_s37050.safetensors,95,37050,30.509456,33.539964,3.103060,1.938628,3.525037,2.815200,0.00009264
ckpt_e96_s37440.safetensors,96,37440,30.379162,33.551781,3.109060,1.946786,3.522536,2.818461,0.00009249
ckpt_e97_s37830.safetensors,97,37830,34.075679,33.698581,3.141916,1.980030,3.516223,2.862252,0.00009233
ckpt_e98_s38220.safetensors,98,38220,33.968454,33.669357,3.133064,1.968012,3.518462,2.857412,0.00009218
ckpt_e99_s38610.safetensors,99,38610,33.983803,33.418297,3.081351,1.914397,3.528635,2.785212,0.00009202
ckpt_e100_s39000.safetensors,100,39000,33.187784,33.522353,3.110966,1.944345,3.517287,2.832242,0.00009186
ckpt_e101_s39390.safetensors,101,39390,33.434632,33.501902,3.099410,1.929232,3.525184,2.807379,0.00009171
ckpt_e102_s39780.safetensors,102,39780,34.025376,33.550885,3.109863,1.943308,3.523018,2.822377,0.00009155
ckpt_e103_s40170.safetensors,103,40170,32.965203,33.383432,3.075703,1.904670,3.529333,2.778972,0.00009138
ckpt_e104_s40560.safetensors,104,40560,33.657740,33.469563,3.097832,1.926401,3.524838,2.804492,0.00009122
ckpt_e105_s40950.safetensors,105,40950,33.685582,33.499968,3.107919,1.939349,3.514916,2.828278,0.00009106
ckpt_e106_s41340.safetensors,106,41340,33.642574,33.663844,3.138888,1.975553,3.513828,2.855276,0.00009089
ckpt_e107_s41730.safetensors,107,41730,33.400502,33.399423,3.084754,1.920077,3.522577,2.797266,0.00009072
ckpt_e108_s42120.safetensors,108,42120,33.593205,33.391320,3.079598,1.915953,3.525831,2.788314,0.00009056
ckpt_e109_s42510.safetensors,109,42510,34.145016,33.429846,3.094617,1.927798,3.521181,2.807228,0.00009039
ckpt_e110_s42900.safetensors,110,42900,34.757856,33.511120,3.106091,1.940949,3.517901,2.824475,0.00009022
ckpt_e111_s43290.safetensors,111,43290,33.692835,33.458437,3.106880,1.943458,3.513866,2.825505,0.00009004
ckpt_e112_s43680.safetensors,112,43680,33.688807,33.447796,3.093988,1.923485,3.521985,2.800864,0.00008987
ckpt_e113_s44070.safetensors,113,44070,30.072291,33.420982,3.102459,1.938050,3.512134,2.824275,0.00008970
ckpt_e114_s44460.safetensors,114,44460,30.943490,33.778505,3.151633,1.987839,3.516891,2.877880,0.00008952
ckpt_e115_s44850.safetensors,115,44850,30.498987,33.555898,3.121372,1.959855,3.512174,2.838808,0.00008934
ckpt_e116_s45240.safetensors,116,45240,30.579938,33.418846,3.089902,1.926444,3.523109,2.797792,0.00008916
ckpt_e117_s45630.safetensors,117,45630,30.405228,33.459287,3.104949,1.938024,3.513985,2.819852,0.00008898
ckpt_e118_s46020.safetensors,118,46020,30.082474,33.552471,3.138824,1.979726,3.501556,2.872451,0.00008880
ckpt_e119_s46410.safetensors,119,46410,30.343123,33.281712,3.067584,1.900849,3.522772,2.767874,0.00008862
ckpt_e120_s46800.safetensors,120,46800,29.984293,33.329943,3.087580,1.925155,3.513892,2.806409,0.00008844
ckpt_e121_s47190.safetensors,121,47190,33.949382,33.707660,3.172885,2.013509,3.494655,2.918049,0.00008825
ckpt_e122_s47580.safetensors,122,47580,33.954775,33.357997,3.098725,1.938143,3.508125,2.814205,0.00008806
ckpt_e123_s47970.safetensors,123,47970,33.493036,33.526546,3.118352,1.953151,3.511891,2.836363,0.00008788
ckpt_e124_s48360.safetensors,124,48360,32.691045,33.326229,3.089119,1.928594,3.513455,2.794018,0.00008769
ckpt_e125_s48750.safetensors,125,48750,32.719943,33.301555,3.080340,1.918237,3.516115,2.788576,0.00008750
ckpt_e126_s49140.safetensors,126,49140,33.619691,33.411521,3.102337,1.937335,3.512089,2.809729,0.00008731
ckpt_e127_s49530.safetensors,127,49530,33.214347,33.483439,3.135844,1.977235,3.496791,2.865070,0.00008711
ckpt_e128_s49920.safetensors,128,49920,33.141259,33.387878,3.113173,1.953893,3.504894,2.842932,0.00008692
ckpt_e129_s50310.safetensors,129,50310,33.260588,33.371230,3.108745,1.954616,3.502939,2.829714,0.00008673
ckpt_e130_s50700.safetensors,130,50700,33.452709,33.217130,3.079479,1.916819,3.508883,2.787637,0.00008653
ckpt_e131_s51090.safetensors,131,51090,32.955136,33.285307,3.078070,1.910633,3.515749,2.783368,0.00008633
ckpt_e132_s51480.safetensors,132,51480,33.024326,33.198513,3.070328,1.910665,3.513952,2.777487,0.00008613
ckpt_e133_s51870.safetensors,133,51870,33.267893,33.343895,3.102715,1.944378,3.504195,2.823885,0.00008594
ckpt_e134_s52260.safetensors,134,52260,34.073214,33.403180,3.105074,1.940473,3.508644,2.822742,0.00008573
ckpt_e135_s52650.safetensors,135,52650,33.163357,33.183921,3.071918,1.909747,3.513326,2.781646,0.00008553
ckpt_e136_s53040.safetensors,136,53040,33.493102,33.316152,3.101490,1.942125,3.503368,2.820640,0.00008533
ckpt_e137_s53430.safetensors,137,53430,29.897723,33.248953,3.086478,1.928723,3.507411,2.795461,0.00008513
ckpt_e138_s53820.safetensors,138,53820,30.608493,33.255491,3.097317,1.940637,3.500319,2.811056,0.00008492
ckpt_e139_s54210.safetensors,139,54210,30.315109,33.160535,3.072092,1.912445,3.509884,2.781737,0.00008471
ckpt_e140_s54600.safetensors,140,54600,29.659223,33.189002,3.082933,1.924616,3.504146,2.792473,0.00008451
ckpt_e141_s54990.safetensors,141,54990,30.208962,33.087659,3.066074,1.909075,3.506069,2.772966,0.00008430
ckpt_e142_s55380.safetensors,142,55380,29.748483,33.232311,3.095067,1.942472,3.500379,2.813871,0.00008409
ckpt_e143_s55770.safetensors,143,55770,30.051179,33.208493,3.097106,1.938495,3.494671,2.819073,0.00008388
ckpt_e144_s56160.safetensors,144,56160,29.672193,33.137261,3.081017,1.926892,3.503344,2.790300,0.00008367
ckpt_e145_s56550.safetensors,145,56550,33.920042,34.626563,3.270922,2.038038,3.519108,3.003512,0.00008345
ckpt_e146_s56940.safetensors,146,56940,33.730676,33.133766,3.070301,1.912419,3.508552,2.772775,0.00008324
ckpt_e147_s57330.safetensors,147,57330,33.281910,33.171141,3.086582,1.927711,3.501404,2.798273,0.00008302
ckpt_e148_s57720.safetensors,148,57720,32.612423,33.114112,3.075978,1.918268,3.501896,2.778075,0.00008281
ckpt_e149_s58110.safetensors,149,58110,33.131330,33.056707,3.058957,1.897985,3.507715,2.761284,0.00008259
ckpt_e150_s58500.safetensors,150,58500,33.269974,33.073897,3.062837,1.904025,3.506016,2.764347,0.00008237
ckpt_e151_s58890.safetensors,151,58890,32.906570,33.334636,3.108841,1.950708,3.500656,2.826576,0.00008215
ckpt_e152_s59280.safetensors,152,59280,32.814479,33.060060,3.069904,1.909242,3.501234,2.779840,0.00008193
ckpt_e153_s59670.safetensors,153,59670,32.911581,33.243949,3.116452,1.964749,3.489831,2.848307,0.00008171
ckpt_e154_s60060.safetensors,154,60060,32.993016,33.182952,3.083052,1.923208,3.501537,2.795467,0.00008149
ckpt_e155_s60450.safetensors,155,60450,33.277458,33.187208,3.097117,1.943897,3.497092,2.810158,0.00008127
ckpt_e156_s60840.safetensors,156,60840,33.327684,33.228788,3.101952,1.943883,3.493787,2.815886,0.00008104
ckpt_e157_s61230.safetensors,157,61230,33.178269,33.072360,3.081049,1.918637,3.495197,2.797507,0.00008082
ckpt_e158_s61620.safetensors,158,61620,33.330520,33.003889,3.063988,1.907831,3.499145,2.764692,0.00008059
ckpt_e159_s62010.safetensors,159,62010,32.991668,32.923660,3.061946,1.908038,3.493334,2.764367,0.00008036
ckpt_e160_s62400.safetensors,160,62400,33.137838,32.990861,3.064320,1.908435,3.496675,2.765226,0.00008013
ckpt_e161_s62790.safetensors,161,62790,29.655040,32.975001,3.069301,1.917311,3.495037,2.769111,0.00007991
ckpt_e162_s63180.safetensors,162,63180,30.628317,33.046287,3.082791,1.931764,3.493531,2.790477,0.00007968
ckpt_e163_s63570.safetensors,163,63570,30.594941,32.952559,3.072461,1.920150,3.490407,2.780028,0.00007945
ckpt_e164_s63960.safetensors,164,63960,29.565918,32.907075,3.055169,1.901986,3.496580,2.758307,0.00007921
ckpt_e165_s64350.safetensors,165,64350,30.201187,32.980157,3.072186,1.919032,3.490477,2.786269,0.00007898
ckpt_e166_s64740.safetensors,166,64740,29.718656,33.039785,3.082355,1.929845,3.489917,2.795213,0.00007875
ckpt_e167_s65130.safetensors,167,65130,29.309388,33.248087,3.119299,1.964177,3.484890,2.831542,0.00007851
ckpt_e168_s65520.safetensors,168,65520,29.833234,32.905031,3.057948,1.903084,3.491137,2.757198,0.00007828
ckpt_e169_s65910.safetensors,169,65910,33.420641,32.883543,3.060313,1.908766,3.489694,2.763980,0.00007804
ckpt_e170_s66300.safetensors,170,66300,32.689535,32.914026,3.063559,1.911716,3.491066,2.765128,0.00007780
