ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,105.755087,61.108953,4.844079,3.913796,3.375656,4.648753,0.00010000
ckpt_e2_s3124.safetensors,2,3124,46.575064,39.703372,3.596572,2.582383,3.364701,3.318911,0.00010000
ckpt_e3_s4686.safetensors,3,4686,37.126818,34.720022,3.256479,2.269252,3.368656,2.921356,0.00009999
ckpt_e4_s6248.safetensors,4,6248,34.739701,32.996277,3.145229,2.147099,3.366792,2.809048,0.00009999
ckpt_e5_s7810.safetensors,5,7810,33.408205,31.676604,3.033883,2.069018,3.349715,2.665369,0.00009998
ckpt_e6_s9372.safetensors,6,9372,32.798964,31.314694,2.998563,2.027449,3.354533,2.614634,0.00009997
ckpt_e7_s10934.safetensors,7,10934,32.752265,31.910362,3.098433,2.114362,3.355407,2.751442,0.00009996
ckpt_e8_s12496.safetensors,8,12496,32.167784,31.488671,3.058578,2.092823,3.345037,2.702984,0.00009995
ckpt_e9_s14058.safetensors,9,14058,32.361643,31.062308,2.993168,2.027153,3.349110,2.619620,0.00009993
ckpt_e10_s15620.safetensors,10,15620,32.066500,30.837048,2.976539,2.021919,3.342027,2.604172,0.00009992
ckpt_e11_s17182.safetensors,11,17182,31.956507,30.626290,2.933249,1.974364,3.349822,2.532013,0.00009990
ckpt_e12_s18744.safetensors,12,18744,31.415089,31.101288,3.038705,2.098196,3.326319,2.687535,0.00009988
ckpt_e13_s20306.safetensors,13,20306,31.694697,30.601514,2.956449,2.009343,3.338534,2.576375,0.00009986
ckpt_e14_s21868.safetensors,14,21868,31.615729,30.683594,2.965128,2.008781,3.339611,2.586457,0.00009984
ckpt_e15_s23430.safetensors,15,23430,31.454039,30.685286,2.979398,2.034475,3.326895,2.602239,0.00009981
ckpt_e16_s24992.safetensors,16,24992,31.323461,30.355261,2.919351,1.969264,3.335785,2.525657,0.00009979
ckpt_e17_s26554.safetensors,17,26554,28.337639,30.454785,2.941321,1.993386,3.333787,2.552933,0.00009976
ckpt_e18_s28116.safetensors,18,28116,28.492255,30.516641,2.950449,1.998940,3.331826,2.560565,0.00009973
ckpt_e19_s29678.safetensors,19,29678,28.299601,30.366512,2.933384,1.982942,3.329412,2.542736,0.00009970
ckpt_e20_s31240.safetensors,20,31240,28.026330,30.302405,2.922595,1.974649,3.332031,2.528385,0.00009966
ckpt_e21_s32802.safetensors,21,32802,28.163560,30.320448,2.926979,1.976153,3.332742,2.536268,0.00009963
ckpt_e22_s34364.safetensors,22,34364,27.862655,30.332456,2.926577,1.970560,3.332538,2.533993,0.00009959
ckpt_e23_s35926.safetensors,23,35926,28.320394,30.202026,2.911403,1.965192,3.328804,2.517986,0.00009956
ckpt_e24_s37488.safetensors,24,37488,28.375925,30.421671,2.944132,1.988206,3.332786,2.557135,0.00009952
ckpt_e25_s39050.safetensors,25,39050,30.876149,30.075132,2.899874,1.958693,3.324525,2.501915,0.00009947
ckpt_e26_s40612.safetensors,26,40612,31.144988,30.470316,2.973010,2.024316,3.317523,2.597996,0.00009943
ckpt_e27_s42174.safetensors,27,42174,30.729040,30.024863,2.901225,1.959033,3.319690,2.504135,0.00009939
ckpt_e28_s43736.safetensors,28,43736,30.856653,30.025092,2.896979,1.952105,3.319777,2.493066,0.00009934
ckpt_e29_s45298.safetensors,29,45298,30.861774,30.179474,2.930095,1.985201,3.316858,2.538033,0.00009929
ckpt_e30_s46860.safetensors,30,46860,30.837857,30.085483,2.930663,1.992800,3.302967,2.545671,0.00009924
ckpt_e31_s48422.safetensors,31,48422,31.039297,30.109489,2.916214,1.961016,3.320820,2.513960,0.00009919
ckpt_e32_s49984.safetensors,32,49984,30.666898,29.953453,2.913827,1.982293,3.302716,2.523875,0.00009914
ckpt_e33_s51546.safetensors,33,51546,31.065542,29.839274,2.889820,1.956639,3.308731,2.484216,0.00009909
ckpt_e34_s53108.safetensors,34,53108,30.834529,29.866064,2.901499,1.960903,3.303799,2.501026,0.00009903
ckpt_e35_s54670.safetensors,35,54670,30.863465,29.726064,2.878864,1.945904,3.300978,2.469608,0.00009897
ckpt_e36_s56232.safetensors,36,56232,30.317887,29.763740,2.885287,1.953934,3.303030,2.483561,0.00009891
