ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,110.733194,4.798938,3.689306,3.213848,4.616628,0.00009998
ckpt_e2_s3124.safetensors,2,3124,54.722887,3.886167,2.754839,3.424201,3.695276,0.00009991
ckpt_e3_s4686.safetensors,3,4686,44.551185,3.612118,2.442913,3.493449,3.393681,0.00009980
ckpt_e4_s6248.safetensors,4,6248,40.196541,3.405253,2.227622,3.542299,3.134469,0.00009963
ckpt_e5_s7810.safetensors,5,7810,39.156509,3.404831,2.237732,3.518751,3.167452,0.00009943
ckpt_e6_s9372.safetensors,6,9372,38.831967,3.270417,2.087579,3.563001,2.984226,0.00009917
ckpt_e7_s10934.safetensors,7,10934,37.499838,3.291120,2.110945,3.548178,3.024665,0.00009887
ckpt_e8_s12496.safetensors,8,12496,37.283196,3.403818,2.243806,3.521492,3.176363,0.00009852
ckpt_e9_s14058.safetensors,9,14058,37.079630,3.212236,2.022652,3.563307,2.905673,0.00009813
ckpt_e10_s15620.safetensors,10,15620,36.610466,3.266394,2.090686,3.545587,2.987423,0.00009769
ckpt_e11_s17182.safetensors,11,17182,36.381275,3.214302,2.035882,3.544683,2.918006,0.00009721
ckpt_e12_s18744.safetensors,12,18744,36.141314,3.330044,2.179953,3.519294,3.067723,0.00009668
ckpt_e13_s20306.safetensors,13,20306,36.313933,3.194010,2.020324,3.546077,2.887104,0.00009611
ckpt_e14_s21868.safetensors,14,21868,36.548748,3.217271,2.042820,3.531593,2.914016,0.00009549
ckpt_e15_s23430.safetensors,15,23430,35.669381,3.339161,2.183320,3.514945,3.074930,0.00009484
ckpt_e16_s24992.safetensors,16,24992,35.782740,3.164631,1.986465,3.544836,2.845468,0.00009414
ckpt_e17_s26554.safetensors,17,26554,32.196894,3.192627,2.019890,3.542406,2.888259,0.00009340
ckpt_e18_s28116.safetensors,18,28116,32.775859,3.145461,1.977413,3.553292,2.816987,0.00009262
ckpt_e19_s29678.safetensors,19,29678,32.107193,3.160848,1.993401,3.546073,2.837576,0.00009180
ckpt_e20_s31240.safetensors,20,31240,32.009891,3.182396,2.017691,3.537555,2.875641,0.00009094
ckpt_e21_s32802.safetensors,21,32802,32.085743,3.135358,1.958856,3.551819,2.806565,0.00009005
ckpt_e22_s34364.safetensors,22,34364,31.937166,3.136467,1.955501,3.549140,2.805119,0.00008911
ckpt_e23_s35926.safetensors,23,35926,31.681179,3.195330,2.021298,3.540437,2.891181,0.00008814
ckpt_e24_s37488.safetensors,24,37488,31.492874,3.147543,1.982782,3.548016,2.825119,0.00008714
ckpt_e25_s39050.safetensors,25,39050,35.150205,3.179835,2.023242,3.535678,2.864854,0.00008610
ckpt_e26_s40612.safetensors,26,40612,35.136897,3.185382,2.031875,3.536322,2.865243,0.00008504
ckpt_e27_s42174.safetensors,27,42174,35.346309,3.144814,1.980782,3.548099,2.820388,0.00008393
ckpt_e28_s43736.safetensors,28,43736,34.429046,3.163271,2.001715,3.545137,2.850866,0.00008280
ckpt_e29_s45298.safetensors,29,45298,34.740468,3.214647,2.048673,3.524999,2.899371,0.00008164
ckpt_e30_s46860.safetensors,30,46860,35.075082,3.130211,1.969030,3.548373,2.798297,0.00008045
ckpt_e31_s48422.safetensors,31,48422,34.375327,3.106614,1.924169,3.551857,2.761850,0.00007924
ckpt_e32_s49984.safetensors,32,49984,34.659454,3.115459,1.943322,3.552358,2.786253,0.00007800
ckpt_e33_s51546.safetensors,33,51546,34.665099,3.239972,2.074051,3.515216,2.926804,0.00007673
ckpt_e34_s53108.safetensors,34,53108,34.597467,3.215451,2.049285,3.527535,2.911737,0.00007545
ckpt_e35_s54670.safetensors,35,54670,34.715990,3.221668,2.056569,3.531383,2.927128,0.00007414
ckpt_e36_s56232.safetensors,36,56232,34.647818,3.143415,1.979977,3.543669,2.813962,0.00007281
ckpt_e37_s57794.safetensors,37,57794,34.923393,3.169830,2.009580,3.538720,2.844301,0.00007146
ckpt_e38_s59356.safetensors,38,59356,35.052853,3.156581,1.987070,3.547551,2.838806,0.00007010
ckpt_e39_s60918.safetensors,39,60918,34.553684,3.136897,1.969076,3.545858,2.817315,0.00006872
ckpt_e40_s62480.safetensors,40,62480,34.552477,3.168658,2.008688,3.535792,2.867040,0.00006732
ckpt_e41_s64042.safetensors,41,64042,31.182539,3.154805,1.992585,3.541529,2.842318,0.00006591
ckpt_e42_s65604.safetensors,42,65604,31.778944,3.111288,1.940133,3.551667,2.777548,0.00006449
ckpt_e43_s67166.safetensors,43,67166,31.161946,3.135700,1.968188,3.545704,2.813427,0.00006306
ckpt_e44_s68728.safetensors,44,68728,31.036898,3.293673,2.138649,3.502400,3.028990,0.00006163
ckpt_e45_s70290.safetensors,45,70290,31.401612,3.134674,1.971729,3.546256,2.819486,0.00006018
ckpt_e46_s71852.safetensors,46,71852,31.053849,3.339085,2.140476,3.536713,3.058976,0.00005873
ckpt_e47_s73414.safetensors,47,73414,30.945837,3.155905,1.992398,3.542388,2.837105,0.00005728
ckpt_e48_s74976.safetensors,48,74976,30.721433,3.129003,1.964400,3.545664,2.811737,0.00005582
ckpt_e49_s76538.safetensors,49,76538,34.322394,3.115432,1.944874,3.548150,2.780258,0.00005436
ckpt_e50_s78100.safetensors,50,78100,34.664169,3.108589,1.943938,3.554107,2.782086,0.00005291
ckpt_e51_s79662.safetensors,51,79662,34.628282,3.130435,1.966478,3.545094,2.821556,0.00005145
ckpt_e52_s81224.safetensors,52,81224,33.871141,3.150534,1.995918,3.539993,2.840269,0.00005000
ckpt_e53_s82786.safetensors,53,82786,33.862219,3.181863,2.029978,3.533620,2.886953,0.00004856
ckpt_e54_s84348.safetensors,54,84348,34.466633,3.132568,1.965875,3.545308,2.814539,0.00004712
ckpt_e55_s85910.safetensors,55,85910,33.792591,3.120478,1.953342,3.548660,2.789345,0.00004569
ckpt_e56_s87472.safetensors,56,87472,34.133709,3.179354,1.999816,3.544433,2.851724,0.00004427
ckpt_e57_s89034.safetensors,57,89034,34.079618,3.174748,2.019577,3.530020,2.882831,0.00004286
ckpt_e58_s90596.safetensors,58,90596,34.075635,3.121199,1.949218,3.550571,2.792505,0.00004146
ckpt_e59_s92158.safetensors,59,92158,34.031143,3.148567,1.994004,3.539861,2.833140,0.00004008
ckpt_e60_s93720.safetensors,60,93720,34.206460,3.120749,1.953015,3.546202,2.794726,0.00003871
ckpt_e61_s95282.safetensors,61,95282,34.380063,3.097228,1.922697,3.552242,2.760275,0.00003736
ckpt_e62_s96844.safetensors,62,96844,34.728991,3.144567,1.985456,3.541494,2.827575,0.00003603
ckpt_e63_s98406.safetensors,63,98406,33.919727,3.097548,1.935627,3.551759,2.761823,0.00003472
ckpt_e64_s99968.safetensors,64,99968,34.158990,3.114811,1.947321,3.547913,2.789748,0.00003343
ckpt_e65_s101530.safetensors,65,101530,30.764822,3.114565,1.949950,3.546799,2.784641,0.00003216
ckpt_e66_s103092.safetensors,66,103092,31.276729,3.153449,1.986911,3.540331,2.829973,0.00003092
ckpt_e67_s104654.safetensors,67,104654,30.781761,3.110769,1.941316,3.548941,2.776522,0.00002970
ckpt_e68_s106216.safetensors,68,106216,30.757591,3.145246,1.988453,3.540245,2.833570,0.00002851
ckpt_e69_s107778.safetensors,69,107778,30.925592,3.103842,1.936051,3.551953,2.770920,0.00002734
ckpt_e70_s109340.safetensors,70,109340,30.833499,3.140488,1.975706,3.541937,2.822813,0.00002621
ckpt_e71_s110902.safetensors,71,110902,30.665819,3.145839,1.982791,3.538178,2.825998,0.00002510
ckpt_e72_s112464.safetensors,72,112464,30.392568,3.126854,1.965575,3.542526,2.813770,0.00002403
ckpt_e73_s114026.safetensors,73,114026,33.953089,3.248988,2.107255,3.514498,2.966882,0.00002299
ckpt_e74_s115588.safetensors,74,115588,34.222851,3.119347,1.953860,3.546087,2.800741,0.00002198
ckpt_e75_s117150.safetensors,75,117150,34.142683,3.144414,1.982637,3.538194,2.829341,0.00002101
ckpt_e76_s118712.safetensors,76,118712,33.203623,3.150346,1.990292,3.535981,2.842759,0.00002007
ckpt_e77_s120274.safetensors,77,120274,33.544664,3.110553,1.947438,3.547383,2.779568,0.00001917
ckpt_e78_s121836.safetensors,78,121836,34.118373,3.136024,1.974464,3.541006,2.820795,0.00001831
ckpt_e79_s123398.safetensors,79,123398,33.497232,3.130507,1.976205,3.542386,2.808679,0.00001748
ckpt_e80_s124960.safetensors,80,124960,33.581717,3.174066,1.966521,3.575062,2.845843,0.00001670
ckpt_e81_s126522.safetensors,81,126522,33.596066,3.110197,1.943335,3.547821,2.778911,0.00001595
ckpt_e82_s128084.safetensors,82,128084,33.765301,3.085687,1.922613,3.552688,2.742246,0.00001525
ckpt_e83_s129646.safetensors,83,129646,33.939947,3.103127,1.941374,3.549750,2.770987,0.00001459
ckpt_e84_s131208.safetensors,84,131208,33.897014,3.101148,1.933883,3.548863,2.776598,0.00001397
ckpt_e85_s132770.safetensors,85,132770,34.119820,3.095661,1.934778,3.549894,2.764184,0.00001339
ckpt_e86_s134332.safetensors,86,134332,34.343274,3.101395,1.942294,3.548308,2.770600,0.00001286
ckpt_e87_s135894.safetensors,87,135894,33.735786,3.107628,1.940114,3.548295,2.779465,0.00001237
ckpt_e88_s137456.safetensors,88,137456,33.785352,3.098609,1.932240,3.550053,2.763708,0.00001192
ckpt_e89_s139018.safetensors,89,139018,30.536655,3.091739,1.929443,3.552411,2.753516,0.00001153
ckpt_e90_s140580.safetensors,90,140580,30.974585,3.105700,1.941973,3.547733,2.771786,0.00001117
ckpt_e91_s142142.safetensors,91,142142,30.647506,3.088077,1.922031,3.553040,2.750301,0.00001086
ckpt_e92_s143704.safetensors,92,143704,30.448911,3.098857,1.933761,3.550473,2.765619,0.00001060
ckpt_e93_s145266.safetensors,93,145266,30.804268,3.110490,1.950846,3.546793,2.783263,0.00001039
ckpt_e94_s146828.safetensors,94,146828,30.619688,3.118290,1.955873,3.544156,2.797429,0.00001022
ckpt_e95_s148390.safetensors,95,148390,30.438552,3.110213,1.949829,3.546067,2.784345,0.00001010
ckpt_e96_s149952.safetensors,96,149952,30.175082,3.128537,1.966647,3.542480,2.811625,0.00001003
ckpt_e97_s151514.safetensors,97,151514,33.769533,3.116749,1.954340,3.545431,2.788838,0.00001000
