ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,102.677876,59.905548,5.140666,3.993484,3.320031,4.966779,0.00010000
ckpt_e2_s3124.safetensors,2,3124,47.002520,39.102797,3.651033,2.608890,3.365199,3.374151,0.00010000
ckpt_e3_s4686.safetensors,3,4686,37.651127,34.645113,3.275941,2.270436,3.375055,2.968531,0.00009999
ckpt_e4_s6248.safetensors,4,6248,35.634774,34.000187,3.261140,2.272889,3.367247,2.936185,0.00009999
ckpt_e5_s7810.safetensors,5,7810,34.512570,32.541346,3.081481,2.088625,3.382877,2.729297,0.00009998
ckpt_e6_s9372.safetensors,6,9372,33.975156,32.050223,3.038741,2.046168,3.382384,2.666250,0.00009997
ckpt_e7_s10934.safetensors,7,10934,33.705381,31.511434,3.010533,2.041240,3.359057,2.631007,0.00009996
ckpt_e8_s12496.safetensors,8,12496,33.007415,32.164101,3.163494,2.224183,3.324688,2.822579,0.00009995
ckpt_e9_s14058.safetensors,9,14058,33.011613,31.228476,3.012953,2.048043,3.349860,2.642525,0.00009993
ckpt_e10_s15620.safetensors,10,15620,32.609558,30.913194,2.966409,2.008491,3.349993,2.586604,0.00009992
ckpt_e11_s17182.safetensors,11,17182,32.516279,31.026987,3.002646,2.047160,3.343717,2.640089,0.00009990
ckpt_e12_s18744.safetensors,12,18744,32.034721,31.379716,3.076329,2.144578,3.323133,2.729307,0.00009988
ckpt_e13_s20306.safetensors,13,20306,32.128511,30.682340,2.947756,1.991976,3.348693,2.559661,0.00009986
ckpt_e14_s21868.safetensors,14,21868,32.157941,30.877203,2.989462,2.037383,3.338982,2.613933,0.00009984
ckpt_e15_s23430.safetensors,15,23430,31.976955,30.607425,2.944439,1.982830,3.347032,2.557512,0.00009981
ckpt_e16_s24992.safetensors,16,24992,31.757823,30.545638,2.930280,1.972328,3.347646,2.538864,0.00009979
ckpt_e17_s26554.safetensors,17,26554,28.746704,30.755522,2.974434,2.027721,3.339492,2.603631,0.00009976
ckpt_e18_s28116.safetensors,18,28116,28.958270,30.783883,2.981382,2.028185,3.338843,2.604071,0.00009973
ckpt_e19_s29678.safetensors,19,29678,28.768654,30.722805,2.949177,1.978577,3.356151,2.567717,0.00009970
ckpt_e20_s31240.safetensors,20,31240,28.456405,30.385236,2.914918,1.954182,3.343544,2.520426,0.00009966
ckpt_e21_s32802.safetensors,21,32802,28.559128,30.527761,2.941289,1.987474,3.341771,2.558972,0.00009963
ckpt_e22_s34364.safetensors,22,34364,28.353483,30.520044,2.949429,1.999998,3.337145,2.568546,0.00009959
ckpt_e23_s35926.safetensors,23,35926,28.700400,30.576520,2.945279,1.982520,3.343724,2.558702,0.00009956
ckpt_e24_s37488.safetensors,24,37488,28.876330,31.967322,3.175174,2.203331,3.326377,2.827741,0.00009952
ckpt_e25_s39050.safetensors,25,39050,31.248091,30.517726,2.949186,2.005896,3.334467,2.564507,0.00009947
ckpt_e26_s40612.safetensors,26,40612,31.547458,31.009067,3.040111,2.114797,3.319372,2.674670,0.00009943
ckpt_e27_s42174.safetensors,27,42174,31.275224,30.502678,2.953581,2.003793,3.336171,2.570130,0.00009939
ckpt_e28_s43736.safetensors,28,43736,31.378662,30.366923,2.919273,1.961903,3.343877,2.526002,0.00009934
