ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e1_s1000.safetensors,1,1000,6063138.115124,556.695374,7.015885,2304.826416,0.00010000
ckpt_e1_s2000.safetensors,1,2000,5962588.558645,557.419617,9.544464,2299.975830,0.00010000
ckpt_e1_s3000.safetensors,1,3000,5867904.324486,553.301208,6.928057,2295.431885,0.00010000
ckpt_e1_s4000.safetensors,1,4000,5884450.117950,552.011475,9.153328,2289.429932,0.00010000
ckpt_e1_s5000.safetensors,1,5000,5881907.843243,548.792542,7.690313,2283.554199,0.00009999
ckpt_e1_s6000.safetensors,1,6000,5849057.399628,547.119751,7.515237,2276.768066,0.00009999
ckpt_e1_s7000.safetensors,1,7000,5867310.154182,540.955750,5.664603,2270.074951,0.00009999
ckpt_e1_s8000.safetensors,1,8000,5866106.523862,537.758179,5.563589,2262.526123,0.00009998
ckpt_e1_s9000.safetensors,1,9000,5835223.924121,534.924500,6.740583,2254.418945,0.00009998
ckpt_e1_s10000.safetensors,1,10000,5810416.207400,531.313110,6.514251,2246.072998,0.00009997
ckpt_e1_s11000.safetensors,1,11000,5800464.363636,526.423096,5.449846,2237.259277,0.00009997
ckpt_e1_s12000.safetensors,1,12000,5802607.544435,522.377197,5.027535,2227.940918,0.00009996
ckpt_e1_s13000.safetensors,1,13000,5764101.939696,519.915039,6.989235,2218.370117,0.00009995
ckpt_e1_s14000.safetensors,1,14000,5751571.875512,514.238403,5.399037,2208.531006,0.00009995
ckpt_e1_s15000.safetensors,1,15000,5730078.587526,509.232574,4.880236,2198.308350,0.00009994
ckpt_e1_s16000.safetensors,1,16000,5703145.304272,506.421234,6.851234,2187.311768,0.00009993
ckpt_e1_s17000.safetensors,1,17000,5699396.384346,501.206085,6.577344,2175.933594,0.00009992
ckpt_e1_s18000.safetensors,1,18000,5672282.214700,497.108276,6.772041,2164.820557,0.00009991
ckpt_e1_s19000.safetensors,1,19000,5651060.773419,492.175842,6.156178,2153.357666,0.00009990
ckpt_e1_s20000.safetensors,1,20000,5623775.492656,486.876801,5.580313,2141.852295,0.00009989
ckpt_e1_s21000.safetensors,1,21000,5599797.331093,482.268677,5.973445,2129.449463,0.00009988
ckpt_e1_s22000.safetensors,1,22000,5578940.177482,477.088013,6.018977,2116.914551,0.00009986
ckpt_e1_s23000.safetensors,1,23000,5555483.506847,473.088013,6.777744,2104.100586,0.00009985
ckpt_e1_s24000.safetensors,1,24000,5531646.632015,468.762390,6.753525,2091.099365,0.00009984
ckpt_e1_s25000.safetensors,1,25000,5505177.006874,463.672546,6.486880,2077.863525,0.00009983
ckpt_e1_s26000.safetensors,1,26000,5488904.807054,457.594086,7.222118,2064.606445,0.00009981
ckpt_e1_s27000.safetensors,1,27000,5471824.895479,453.590240,6.803344,2050.724854,0.00009980
ckpt_e1_s28000.safetensors,1,28000,5437487.784559,447.049438,5.521353,2038.101196,0.00009978
ckpt_e1_s29000.safetensors,1,29000,5415727.301351,440.076630,4.785707,2024.498047,0.00009976
ckpt_e1_s30000.safetensors,1,30000,5388228.407459,435.429596,5.807732,2010.288330,0.00009975
ckpt_e1_s31000.safetensors,1,31000,5363971.735682,429.892365,5.940549,1996.021118,0.00009973
ckpt_e1_s32000.safetensors,1,32000,5337265.570116,423.997528,5.450061,1981.873535,0.00009971
ckpt_e1_s33000.safetensors,1,33000,5319377.319272,418.228149,4.730398,1967.308350,0.00009970
ckpt_e1_s34000.safetensors,1,34000,5287935.080698,413.634735,5.885954,1952.990967,0.00009968
ckpt_e1_s35000.safetensors,1,35000,5268422.460344,407.876770,5.686477,1937.923828,0.00009966
ckpt_e1_s36000.safetensors,1,36000,5242158.305120,401.986572,5.046374,1922.982422,0.00009964
ckpt_e1_s37000.safetensors,1,37000,5211440.078570,396.837372,5.246318,1908.617432,0.00009962
ckpt_e2_s38000.safetensors,2,38000,4544346.678305,391.268158,5.177438,1893.138916,0.00009960
ckpt_e2_s39000.safetensors,2,39000,4414866.329046,386.518707,6.068147,1878.031860,0.00009957
ckpt_e2_s40000.safetensors,2,40000,4369707.987653,382.492249,7.227862,1863.338867,0.00009955
ckpt_e2_s41000.safetensors,2,41000,4354567.406104,375.688965,5.060171,1848.389893,0.00009953
ckpt_e2_s42000.safetensors,2,42000,4325890.865363,372.069519,5.971576,1832.839233,0.00009951
ckpt_e2_s43000.safetensors,2,43000,4295729.107656,364.941956,4.909291,1818.380859,0.00009948
ckpt_e2_s44000.safetensors,2,44000,4266992.293091,362.033691,5.760342,1803.287109,0.00009946
ckpt_e2_s45000.safetensors,2,45000,4232190.735670,354.887787,4.751258,1787.814453,0.00009943
ckpt_e2_s46000.safetensors,2,46000,4206213.555588,350.128479,5.483812,1772.522461,0.00009941
ckpt_e2_s47000.safetensors,2,47000,4180049.444274,346.541992,6.012829,1757.270874,0.00009938
ckpt_e2_s48000.safetensors,2,48000,4155720.634828,341.473694,4.923359,1742.218994,0.00009936
ckpt_e2_s49000.safetensors,2,49000,4130355.221611,336.521271,5.752531,1726.941895,0.00009933
ckpt_e2_s50000.safetensors,2,50000,4094151.994171,332.283020,6.006010,1711.751465,0.00009930
ckpt_e2_s51000.safetensors,2,51000,4068098.924650,327.006195,5.632708,1696.181152,0.00009927
ckpt_e2_s52000.safetensors,2,52000,4035227.598344,321.858490,5.125042,1681.344116,0.00009924
ckpt_e2_s53000.safetensors,2,53000,4013715.654386,316.910400,4.412913,1666.043579,0.00009921
ckpt_e2_s54000.safetensors,2,54000,3987561.763405,312.397125,4.563455,1650.653809,0.00009918
ckpt_e2_s55000.safetensors,2,55000,3945029.530400,308.959045,6.082153,1635.698730,0.00009915
ckpt_e2_s56000.safetensors,2,56000,3927503.349166,303.161011,5.111045,1619.960205,0.00009912
ckpt_e2_s57000.safetensors,2,57000,3895010.413625,298.277283,4.219104,1605.684448,0.00009909
ckpt_e2_s58000.safetensors,2,58000,3861599.764017,294.483307,3.978856,1590.880615,0.00009906
ckpt_e2_s59000.safetensors,2,59000,3834859.907977,290.045868,4.367635,1575.689941,0.00009903
ckpt_e2_s60000.safetensors,2,60000,3810640.456979,284.943909,5.060316,1560.445557,0.00009899
ckpt_e2_s61000.safetensors,2,61000,3782817.552193,280.801941,4.721766,1545.533569,0.00009896
ckpt_e2_s62000.safetensors,2,62000,3753327.742987,278.603180,5.714451,1531.119507,0.00009893
ckpt_e2_s63000.safetensors,2,63000,3728990.165011,275.867188,6.844961,1515.598999,0.00009889
ckpt_e2_s64000.safetensors,2,64000,3702925.593028,267.475372,4.590232,1501.640625,0.00009885
ckpt_e2_s65000.safetensors,2,65000,3673099.497964,263.048828,3.898631,1487.577148,0.00009882
ckpt_e2_s66000.safetensors,2,66000,3643688.566067,262.971588,6.957565,1473.314819,0.00009878
ckpt_e2_s67000.safetensors,2,67000,3618419.096401,255.792404,4.673298,1458.255127,0.00009875
ckpt_e2_s68000.safetensors,2,68000,3591769.996461,252.124756,4.542817,1444.463623,0.00009871
ckpt_e2_s69000.safetensors,2,69000,3567826.648266,248.865845,6.069833,1429.208496,0.00009867
ckpt_e2_s70000.safetensors,2,70000,3540593.655088,243.966553,4.785561,1415.234375,0.00009863
ckpt_e2_s71000.safetensors,2,71000,3516509.715101,241.717300,4.710795,1401.732910,0.00009859
ckpt_e2_s72000.safetensors,2,72000,3486588.109351,238.657059,6.041731,1387.640137,0.00009855
ckpt_e2_s73000.safetensors,2,73000,3464106.697560,237.900925,8.334181,1372.921021,0.00009851
ckpt_e2_s74000.safetensors,2,74000,3437128.331087,230.950714,5.737853,1360.049438,0.00009847
ckpt_e3_s75000.safetensors,3,75000,2142887.688919,226.122635,4.467042,1347.671387,0.00009843
ckpt_e3_s76000.safetensors,3,76000,2203124.014946,225.553040,8.605926,1333.254761,0.00009839
ckpt_e3_s77000.safetensors,3,77000,2126722.394664,220.160080,4.347856,1321.687622,0.00009834
ckpt_e3_s78000.safetensors,3,78000,2104322.127831,217.250443,4.927094,1307.870117,0.00009830
ckpt_e3_s79000.safetensors,3,79000,2091817.202791,216.439880,5.867364,1293.493042,0.00009826
ckpt_e3_s80000.safetensors,3,80000,2090763.119844,208.580475,4.173247,1281.294678,0.00009821
ckpt_e3_s81000.safetensors,3,81000,2066651.462711,209.679047,8.609350,1267.500488,0.00009817
ckpt_e3_s82000.safetensors,3,82000,2047795.247982,222.141479,14.220242,1252.208496,0.00009812
ckpt_e3_s83000.safetensors,3,83000,2029698.577543,205.790955,8.426394,1241.967163,0.00009808
ckpt_e3_s84000.safetensors,3,84000,2018212.289666,195.915253,4.070526,1229.742554,0.00009803
ckpt_e3_s85000.safetensors,3,85000,2001478.779874,193.661133,5.088833,1217.397583,0.00009798
ckpt_e3_s86000.safetensors,3,86000,1981155.700181,189.843475,3.855416,1204.906372,0.00009794
ckpt_e3_s87000.safetensors,3,87000,1954029.500881,197.130905,11.496469,1192.155518,0.00009789
ckpt_e3_s88000.safetensors,3,88000,1938995.914530,184.063644,4.141533,1180.322144,0.00009784
ckpt_e3_s89000.safetensors,3,89000,1925480.282122,179.868240,2.982137,1168.476929,0.00009779
ckpt_e3_s90000.safetensors,3,90000,1908536.699149,177.220367,3.933567,1156.306030,0.00009774
ckpt_e3_s91000.safetensors,3,91000,1888659.846467,175.278641,4.784701,1144.499634,0.00009769
ckpt_e3_s92000.safetensors,3,92000,1871533.764586,176.364838,7.301949,1133.258911,0.00009764
ckpt_e3_s93000.safetensors,3,93000,1854047.830245,168.785217,3.129649,1121.844971,0.00009759
ckpt_e3_s94000.safetensors,3,94000,1837568.554209,166.555191,4.024786,1110.265991,0.00009754
ckpt_e3_s95000.safetensors,3,95000,1821479.554170,163.453384,3.071003,1100.157471,0.00009749
ckpt_e3_s96000.safetensors,3,96000,1805459.080483,161.125763,3.596576,1088.485352,0.00009743
ckpt_e3_s97000.safetensors,3,97000,1787327.590691,161.097061,4.528454,1079.375000,0.00009738
ckpt_e3_s98000.safetensors,3,98000,1775690.278559,158.054199,6.595422,1065.382324,0.00009733
ckpt_e3_s99000.safetensors,3,99000,1758230.656190,153.345596,3.530154,1055.974854,0.00009727
ckpt_e3_s100000.safetensors,3,100000,1739658.096377,149.409042,3.059474,1044.159668,0.00009722
ckpt_e3_s101000.safetensors,3,101000,1726631.770136,150.292694,6.159078,1033.565063,0.00009716
ckpt_e3_s102000.safetensors,3,102000,1711253.408999,145.561295,4.332932,1022.776245,0.00009711
ckpt_e3_s103000.safetensors,3,103000,1694858.975573,144.928925,4.479427,1014.603149,0.00009705
ckpt_e3_s104000.safetensors,3,104000,1682689.145339,141.664902,4.607387,1002.995422,0.00009699
ckpt_e3_s105000.safetensors,3,105000,1668346.924511,138.757965,3.953731,992.526001,0.00009694
ckpt_e3_s106000.safetensors,3,106000,1655359.535949,136.461227,3.577261,983.236084,0.00009688
ckpt_e3_s107000.safetensors,3,107000,1636582.842219,135.373993,4.147964,974.795288,0.00009682
ckpt_e3_s108000.safetensors,3,108000,1624827.324374,132.743774,4.281842,963.479736,0.00009676
ckpt_e3_s109000.safetensors,3,109000,1608613.195410,133.570358,4.161072,956.874817,0.00009670
ckpt_e3_s110000.safetensors,3,110000,1594451.311849,129.634354,3.883687,945.799744,0.00009664
ckpt_e3_s111000.safetensors,3,111000,1582122.827958,126.295631,3.798362,935.581848,0.00009658
ckpt_e4_s112000.safetensors,4,112000,1038750.953372,125.333000,3.466143,926.990479,0.00009652
ckpt_e4_s113000.safetensors,4,113000,1020944.037332,122.933121,3.308391,919.344116,0.00009646
ckpt_e4_s114000.safetensors,4,114000,1014484.854477,124.524101,5.761926,909.731445,0.00009639
ckpt_e4_s115000.safetensors,4,115000,976499.230827,121.112350,4.694326,904.042847,0.00009633
ckpt_e4_s116000.safetensors,4,116000,1005365.242389,122.110039,8.791603,892.153931,0.00009627
ckpt_e4_s117000.safetensors,4,117000,992188.418990,116.852821,5.085955,884.026794,0.00009621
ckpt_e4_s118000.safetensors,4,118000,984537.486975,113.964622,4.533291,875.555115,0.00009614
ckpt_e4_s119000.safetensors,4,119000,977113.622649,114.707977,5.133087,868.060364,0.00009608
ckpt_e4_s120000.safetensors,4,120000,962370.527140,110.355240,4.335539,859.862793,0.00009601
ckpt_e4_s121000.safetensors,4,121000,960483.147323,108.982643,4.277151,852.144714,0.00009595
ckpt_e4_s122000.safetensors,4,122000,949979.130428,106.261581,3.114562,843.838745,0.00009588
ckpt_e4_s123000.safetensors,4,123000,939456.495140,105.879562,4.565038,836.145447,0.00009581
ckpt_e4_s124000.safetensors,4,124000,929023.875073,105.783798,5.834072,828.789001,0.00009574
ckpt_e4_s125000.safetensors,4,125000,917279.852056,102.345016,3.783551,821.748535,0.00009568
ckpt_e4_s126000.safetensors,4,126000,911943.338988,102.497566,4.734338,813.743408,0.00009561
ckpt_e4_s127000.safetensors,4,127000,899633.254402,101.094093,5.661089,806.175537,0.00009554
ckpt_e4_s128000.safetensors,4,128000,896019.744183,98.455841,4.525256,799.152527,0.00009547
ckpt_e4_s129000.safetensors,4,129000,884221.786163,96.727890,3.893401,792.431274,0.00009540
ckpt_e4_s130000.safetensors,4,130000,879635.346357,97.136978,6.387300,784.367737,0.00009533
ckpt_e4_s131000.safetensors,4,131000,872012.399221,94.979103,5.277938,778.806030,0.00009526
ckpt_e4_s132000.safetensors,4,132000,865206.048466,94.467438,5.856646,771.455444,0.00009519
ckpt_e4_s133000.safetensors,4,133000,856165.558690,91.934570,4.560128,764.571960,0.00009512
ckpt_e4_s134000.safetensors,4,134000,849370.211873,92.774017,5.366730,758.980469,0.00009504
ckpt_e4_s135000.safetensors,4,135000,842438.201382,87.883842,3.495378,750.949890,0.00009497
ckpt_e4_s136000.safetensors,4,136000,833853.892301,90.133698,7.506617,745.043884,0.00009490
ckpt_e4_s137000.safetensors,4,137000,823922.403059,88.441399,6.488792,739.683655,0.00009482
ckpt_e4_s138000.safetensors,4,138000,820820.596145,86.301582,5.312018,733.579102,0.00009475
ckpt_e4_s139000.safetensors,4,139000,811180.670012,83.179077,3.681161,727.105713,0.00009467
ckpt_e4_s140000.safetensors,4,140000,806293.697507,82.528053,3.663385,721.156067,0.00009460
ckpt_e4_s141000.safetensors,4,141000,799935.905621,81.856209,3.780904,716.016296,0.00009452
ckpt_e4_s142000.safetensors,4,142000,793592.391511,83.369347,7.163264,709.714600,0.00009445
ckpt_e4_s143000.safetensors,4,143000,787066.205234,78.387695,3.130929,704.170959,0.00009437
ckpt_e4_s144000.safetensors,4,144000,778981.074006,78.442207,3.924435,699.105408,0.00009429
ckpt_e4_s145000.safetensors,4,145000,775312.198182,78.734398,5.929825,692.396179,0.00009421
ckpt_e4_s146000.safetensors,4,146000,766097.680457,76.209038,4.521661,687.573242,0.00009414
ckpt_e4_s147000.safetensors,4,147000,760967.158536,76.996597,6.118069,682.098877,0.00009406
ckpt_e4_s148000.safetensors,4,148000,755181.895823,75.026482,4.792115,677.075317,0.00009398
ckpt_e5_s149000.safetensors,5,149000,608040.371196,74.399437,5.275732,671.510803,0.00009390
ckpt_e5_s150000.safetensors,5,150000,578154.264183,72.217033,3.565488,666.337830,0.00009382
ckpt_e5_s151000.safetensors,5,151000,560776.623783,70.915161,3.440140,660.749756,0.00009374
ckpt_e5_s152000.safetensors,5,152000,574065.006673,71.604202,4.218840,656.157166,0.00009366
ckpt_e5_s153000.safetensors,5,153000,567799.738871,69.645088,4.489020,650.085754,0.00009357
ckpt_e5_s154000.safetensors,5,154000,561956.881741,68.664589,4.449559,645.214600,0.00009349
ckpt_e5_s155000.safetensors,5,155000,552095.278317,69.523857,6.351104,640.645203,0.00009341
ckpt_e5_s156000.safetensors,5,156000,548543.276552,67.681931,4.263168,636.344543,0.00009333
ckpt_e5_s157000.safetensors,5,157000,547044.585894,66.105217,3.396029,631.164307,0.00009324
ckpt_e5_s158000.safetensors,5,158000,538179.830276,65.261559,3.662556,626.367493,0.00009316
ckpt_e5_s159000.safetensors,5,159000,531628.927924,66.083771,5.805952,621.987793,0.00009307
ckpt_e5_s160000.safetensors,5,160000,533141.869091,66.148872,4.518187,617.929688,0.00009299
ckpt_e5_s161000.safetensors,5,161000,528346.322731,62.425079,3.411225,612.741272,0.00009290
ckpt_e5_s162000.safetensors,5,162000,523453.812149,62.374901,3.853911,608.729065,0.00009282
ckpt_e5_s163000.safetensors,5,163000,519849.577286,63.997082,5.605541,604.815796,0.00009273
ckpt_e5_s164000.safetensors,5,164000,516402.534614,63.661201,5.579508,600.903870,0.00009264
ckpt_e5_s165000.safetensors,5,165000,513627.788189,61.427719,4.824935,595.737000,0.00009256
ckpt_e5_s166000.safetensors,5,166000,508140.963630,61.012054,4.533559,592.787842,0.00009247
ckpt_e5_s167000.safetensors,5,167000,506594.944988,61.293362,6.376112,587.535217,0.00009238
ckpt_e5_s168000.safetensors,5,168000,500082.350175,58.516426,4.379174,583.171143,0.00009229
ckpt_e5_s169000.safetensors,5,169000,497469.708069,57.792019,4.346809,579.244446,0.00009220
ckpt_e5_s170000.safetensors,5,170000,493399.003667,58.456257,6.112228,575.095947,0.00009211
ckpt_e5_s171000.safetensors,5,171000,490048.477589,56.769642,4.423346,571.111328,0.00009202
ckpt_e5_s172000.safetensors,5,172000,488084.401437,55.841061,4.414961,566.917236,0.00009193
ckpt_e5_s173000.safetensors,5,173000,482274.430614,56.340309,5.610676,563.544617,0.00009184
ckpt_e5_s174000.safetensors,5,174000,479924.062742,57.578201,8.053255,558.929565,0.00009175
ckpt_e5_s175000.safetensors,5,175000,476734.762986,53.429291,3.964067,555.170105,0.00009165
ckpt_e5_s176000.safetensors,5,176000,472414.129125,54.377769,5.042235,551.556702,0.00009156
ckpt_e5_s177000.safetensors,5,177000,469742.762602,52.549091,3.336810,548.329712,0.00009147
ckpt_e5_s178000.safetensors,5,178000,466653.436430,53.445709,4.788795,544.797058,0.00009138
ckpt_e5_s179000.safetensors,5,179000,463422.597346,51.202213,3.168923,541.075806,0.00009128
ckpt_e5_s180000.safetensors,5,180000,459508.320029,51.719429,4.074674,537.665100,0.00009119
ckpt_e5_s181000.safetensors,5,181000,455845.888276,50.398170,3.845631,534.182861,0.00009109
ckpt_e5_s182000.safetensors,5,182000,452604.128515,50.367100,4.259205,530.696655,0.00009100
ckpt_e5_s183000.safetensors,5,183000,451946.548351,49.611885,3.447864,527.006287,0.00009090
ckpt_e5_s184000.safetensors,5,184000,447609.295687,51.361607,6.604956,523.767029,0.00009081
ckpt_e5_s185000.safetensors,5,185000,445132.639137,47.619591,3.146662,520.226318,0.00009071
ckpt_e6_s186000.safetensors,6,186000,325799.673235,49.157887,4.354419,517.414490,0.00009061
ckpt_e6_s187000.safetensors,6,187000,366719.261858,49.120129,5.570663,514.104980,0.00009051
ckpt_e6_s188000.safetensors,6,188000,370046.956008,50.044788,6.763111,511.066498,0.00009042
ckpt_e6_s189000.safetensors,6,189000,375626.175579,47.943996,5.325863,508.088348,0.00009032
ckpt_e6_s190000.safetensors,6,190000,366324.929399,47.813499,5.401401,505.029510,0.00009022
ckpt_e6_s191000.safetensors,6,191000,352310.993062,46.208118,3.718146,502.705078,0.00009012
ckpt_e6_s192000.safetensors,6,192000,351263.715550,44.981564,3.020515,499.578308,0.00009002
ckpt_e6_s193000.safetensors,6,193000,347469.971534,46.388378,5.581866,496.727081,0.00008992
ckpt_e6_s194000.safetensors,6,194000,344068.705447,44.826080,3.769077,494.520020,0.00008982
ckpt_e6_s195000.safetensors,6,195000,353459.396697,44.026684,3.517942,491.202759,0.00008972
ckpt_e6_s196000.safetensors,6,196000,341837.339420,44.945309,4.653096,489.013214,0.00008962
ckpt_e6_s197000.safetensors,6,197000,340748.759938,43.648731,4.083362,486.174744,0.00008951
ckpt_e6_s198000.safetensors,6,198000,339067.445754,46.425770,5.064744,485.236908,0.00008941
ckpt_e6_s199000.safetensors,6,199000,338076.718578,44.092072,4.130778,481.761963,0.00008931
ckpt_e6_s200000.safetensors,6,200000,337681.488102,44.411919,4.819065,479.033295,0.00008921
ckpt_e6_s201000.safetensors,6,201000,335930.253891,42.738846,4.555989,475.800934,0.00008910
ckpt_e6_s202000.safetensors,6,202000,334527.378366,41.454124,3.174511,473.781982,0.00008900
ckpt_e6_s203000.safetensors,6,203000,333747.330960,41.518784,3.759553,470.767883,0.00008889
ckpt_e6_s204000.safetensors,6,204000,330765.182498,40.452240,2.794988,468.719086,0.00008879
ckpt_e6_s205000.safetensors,6,205000,327738.688047,41.612484,4.352066,466.823212,0.00008868
ckpt_e6_s206000.safetensors,6,206000,328049.174454,40.989563,3.405350,464.394806,0.00008858
ckpt_e6_s207000.safetensors,6,207000,325810.389830,42.417290,6.404287,461.688293,0.00008847
ckpt_e6_s208000.safetensors,6,208000,324392.120616,39.981861,3.963967,459.598907,0.00008836
