ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e1_s1000.safetensors,1,1000,5793162.949359,556.793701,4.401145,2307.171631,0.00003000
ckpt_e1_s2000.safetensors,1,2000,5993343.127316,556.910278,7.231979,2305.156982,0.00003000
ckpt_e1_s3000.safetensors,1,3000,6003705.244665,558.622620,9.947581,2302.881348,0.00003000
ckpt_e1_s4000.safetensors,1,4000,5975055.942967,558.018066,9.888557,2301.130127,0.00002999
ckpt_e1_s5000.safetensors,1,5000,5925087.090066,555.385681,7.616165,2299.835938,0.00002999
ckpt_e1_s6000.safetensors,1,6000,5904849.175397,553.750549,6.735224,2298.155273,0.00002998
ckpt_e1_s7000.safetensors,1,7000,5909454.484005,552.334656,6.166303,2296.406006,0.00002998
ckpt_e1_s8000.safetensors,1,8000,5897172.623351,551.234070,5.879266,2294.500488,0.00002997
ckpt_e1_s9000.safetensors,1,9000,5902731.365403,549.741455,4.838594,2292.593262,0.00002996
ckpt_e1_s10000.safetensors,1,10000,5925711.280684,548.024902,3.816379,2290.723389,0.00002995
ckpt_e1_s11000.safetensors,1,11000,5920222.986056,547.503723,4.472500,2288.529297,0.00002994
ckpt_e1_s12000.safetensors,1,12000,5894447.187343,546.120850,3.782643,2286.431885,0.00002993
ckpt_e1_s13000.safetensors,1,13000,5907830.971260,544.567932,3.469549,2284.224854,0.00002992
ckpt_e1_s14000.safetensors,1,14000,5869595.363168,543.583374,3.430730,2282.040039,0.00002991
ckpt_e1_s15000.safetensors,1,15000,5876022.195908,542.589050,3.510023,2279.460205,0.00002989
ckpt_e1_s16000.safetensors,1,16000,5869939.397440,541.049194,3.123631,2277.142578,0.00002988
ckpt_e1_s17000.safetensors,1,17000,5879687.594883,540.223328,3.376509,2274.524414,0.00002986
ckpt_e1_s18000.safetensors,1,18000,5849686.197472,538.807068,3.011619,2272.041748,0.00002984
ckpt_e1_s19000.safetensors,1,19000,5858795.925613,537.660950,3.120078,2269.335693,0.00002983
ckpt_e1_s20000.safetensors,1,20000,5853915.524606,537.273621,3.683565,2266.458740,0.00002981
ckpt_e1_s21000.safetensors,1,21000,5849057.084494,535.163086,2.951872,2263.966797,0.00002979
ckpt_e1_s22000.safetensors,1,22000,5841347.303370,534.162292,3.274648,2261.121582,0.00002977
ckpt_e1_s23000.safetensors,1,23000,5835506.102244,532.648071,2.899355,2258.398926,0.00002975
ckpt_e1_s24000.safetensors,1,24000,5833373.757613,531.391785,2.996806,2255.455322,0.00002972
ckpt_e1_s25000.safetensors,1,25000,5822280.979425,530.282166,3.198984,2252.512451,0.00002970
ckpt_e1_s26000.safetensors,1,26000,5806677.431343,529.057129,3.331414,2249.527100,0.00002967
ckpt_e1_s27000.safetensors,1,27000,5808219.813338,528.249512,3.722444,2246.296631,0.00002965
ckpt_e1_s28000.safetensors,1,28000,5804661.684700,526.650146,3.629166,2243.278564,0.00002962
ckpt_e1_s29000.safetensors,1,29000,5801396.859582,524.962463,3.082201,2240.379883,0.00002960
ckpt_e1_s30000.safetensors,1,30000,5794823.974376,523.935181,3.482704,2237.057129,0.00002957
ckpt_e1_s31000.safetensors,1,31000,5788525.079051,522.138550,3.154515,2233.842529,0.00002954
ckpt_e1_s32000.safetensors,1,32000,5784792.690147,520.648376,3.165757,2230.456055,0.00002951
ckpt_e1_s33000.safetensors,1,33000,5778883.717769,519.685242,3.587799,2227.130127,0.00002948
ckpt_e1_s34000.safetensors,1,34000,5767343.590563,517.595764,2.961451,2223.988770,0.00002944
ckpt_e1_s35000.safetensors,1,35000,5753423.476749,516.400085,3.367136,2220.508789,0.00002941
ckpt_e1_s36000.safetensors,1,36000,5757817.061934,514.887634,3.308704,2216.883545,0.00002938
ckpt_e1_s37000.safetensors,1,37000,5749743.860073,513.168030,3.052752,2213.448242,0.00002934
ckpt_e2_s38000.safetensors,2,38000,5739365.288948,511.729614,3.284623,2209.861572,0.00002931
ckpt_e2_s39000.safetensors,2,39000,5699548.673473,510.149292,3.035859,2206.376953,0.00002927
ckpt_e2_s40000.safetensors,2,40000,5720636.147884,509.114410,3.615613,2202.645996,0.00002923
ckpt_e2_s41000.safetensors,2,41000,5728269.565813,507.281128,3.288936,2199.015137,0.00002919
ckpt_e2_s42000.safetensors,2,42000,5726046.666798,505.325684,2.875993,2195.433838,0.00002915
ckpt_e2_s43000.safetensors,2,43000,5714238.897560,504.309387,3.674152,2191.583496,0.00002911
ckpt_e2_s44000.safetensors,2,44000,5713217.972836,502.503357,3.367204,2187.881592,0.00002907
ckpt_e2_s45000.safetensors,2,45000,5685834.860205,501.167145,3.529082,2184.109863,0.00002903
ckpt_e2_s46000.safetensors,2,46000,5683523.120690,499.021881,3.099127,2180.315674,0.00002899
ckpt_e2_s47000.safetensors,2,47000,5673254.523194,497.313507,2.904956,2176.732910,0.00002894
ckpt_e2_s48000.safetensors,2,48000,5680718.334916,495.394806,2.683032,2172.834961,0.00002890
ckpt_e2_s49000.safetensors,2,49000,5663020.879398,494.855713,3.822854,2168.804199,0.00002885
ckpt_e2_s50000.safetensors,2,50000,5656723.243240,492.334198,2.742837,2165.150391,0.00002881
ckpt_e2_s51000.safetensors,2,51000,5659853.911665,491.211121,3.236212,2161.030762,0.00002876
ckpt_e2_s52000.safetensors,2,52000,5651323.961970,489.347198,2.894433,2157.188721,0.00002871
ckpt_e2_s53000.safetensors,2,53000,5646733.664604,487.771606,2.979688,2153.183594,0.00002866
ckpt_e2_s54000.safetensors,2,54000,5630912.896037,486.032715,2.921716,2149.135010,0.00002861
ckpt_e2_s55000.safetensors,2,55000,5626915.765064,484.401764,2.962175,2145.022461,0.00002856
ckpt_e2_s56000.safetensors,2,56000,5604569.870285,482.697754,2.901148,2141.052734,0.00002851
ckpt_e2_s57000.safetensors,2,57000,5608370.496307,481.004211,2.932426,2136.808350,0.00002845
ckpt_e2_s58000.safetensors,2,58000,5598802.796118,479.967285,3.353319,2132.415527,0.00002840
ckpt_e2_s59000.safetensors,2,59000,5589401.274444,477.691040,2.944458,2128.388916,0.00002835
ckpt_e2_s60000.safetensors,2,60000,5578062.232390,475.785675,2.803629,2124.244873,0.00002829
ckpt_e2_s61000.safetensors,2,61000,5568829.101035,476.210358,4.795449,2119.644531,0.00002823
ckpt_e2_s62000.safetensors,2,62000,5566645.674324,472.998962,3.247620,2115.667480,0.00002818
ckpt_e2_s63000.safetensors,2,63000,5555486.196755,471.384125,3.426913,2111.501465,0.00002812
ckpt_e2_s64000.safetensors,2,64000,5538595.107061,469.330872,3.037277,2107.498047,0.00002806
ckpt_e2_s65000.safetensors,2,65000,5538097.303986,467.819519,3.147935,2103.143555,0.00002800
ckpt_e2_s66000.safetensors,2,66000,5527961.037046,465.921753,2.968495,2098.842529,0.00002794
ckpt_e2_s67000.safetensors,2,67000,5516514.110352,463.974396,2.727239,2094.588379,0.00002788
ckpt_e2_s68000.safetensors,2,68000,5508314.606684,462.175507,2.623976,2090.330322,0.00002782
ckpt_e2_s69000.safetensors,2,69000,5497004.745471,460.463745,2.760793,2085.925049,0.00002775
ckpt_e2_s70000.safetensors,2,70000,5483554.242375,458.980164,2.821478,2081.683350,0.00002769
ckpt_e2_s71000.safetensors,2,71000,5485797.772850,457.084717,2.647625,2077.206543,0.00002763
ckpt_e2_s72000.safetensors,2,72000,5473357.329250,455.045044,2.529538,2072.899170,0.00002756
ckpt_e2_s73000.safetensors,2,73000,5459377.343096,453.738403,2.738912,2068.619873,0.00002749
ckpt_e2_s74000.safetensors,2,74000,5452862.523614,451.971588,2.508535,2064.191162,0.00002743
ckpt_e3_s75000.safetensors,3,75000,4748820.074371,450.362854,2.801215,2059.885010,0.00002736
ckpt_e3_s76000.safetensors,3,76000,4820194.475408,448.426971,2.673915,2055.530273,0.00002729
ckpt_e3_s77000.safetensors,3,77000,4596762.168576,447.290039,2.978703,2051.155762,0.00002722
ckpt_e3_s78000.safetensors,3,78000,4651577.616557,444.857574,2.522731,2046.825806,0.00002715
ckpt_e3_s79000.safetensors,3,79000,4633224.562294,443.636078,2.677961,2042.437988,0.00002708
ckpt_e3_s80000.safetensors,3,80000,4629602.986721,441.420563,2.601775,2038.053101,0.00002701
ckpt_e3_s81000.safetensors,3,81000,4612525.594588,440.076752,3.055802,2033.604126,0.00002694
ckpt_e3_s82000.safetensors,3,82000,4622724.457502,438.160889,2.818885,2029.122437,0.00002686
ckpt_e3_s83000.safetensors,3,83000,4608735.639417,436.597534,3.176751,2024.607422,0.00002679
ckpt_e3_s84000.safetensors,3,84000,4601038.156809,434.608002,2.705024,2020.274292,0.00002672
ckpt_e3_s85000.safetensors,3,85000,4577575.655524,432.878052,2.596925,2015.843994,0.00002664
ckpt_e3_s86000.safetensors,3,86000,4575667.334033,431.309845,2.862946,2011.297363,0.00002656
ckpt_e3_s87000.safetensors,3,87000,4560694.257705,429.374237,2.680867,2006.798584,0.00002649
ckpt_e3_s88000.safetensors,3,88000,4565962.013250,428.135193,3.389776,2002.172607,0.00002641
ckpt_e3_s89000.safetensors,3,89000,4545448.496094,426.169373,3.026344,1997.754272,0.00002633
ckpt_e3_s90000.safetensors,3,90000,4547486.044748,424.597351,3.131733,1993.142334,0.00002625
ckpt_e3_s91000.safetensors,3,91000,4534062.726438,422.363922,2.563083,1988.794067,0.00002617
ckpt_e3_s92000.safetensors,3,92000,4521254.912990,420.601196,2.340427,1984.381836,0.00002609
ckpt_e3_s93000.safetensors,3,93000,4511488.004992,419.242157,2.807072,1979.750732,0.00002601
ckpt_e3_s94000.safetensors,3,94000,4509923.532161,417.055969,2.321093,1975.328857,0.00002593
ckpt_e3_s95000.safetensors,3,95000,4497792.030997,415.540131,2.415516,1970.844971,0.00002585
ckpt_e3_s96000.safetensors,3,96000,4482918.740003,413.920868,2.468995,1966.469604,0.00002576
ckpt_e3_s97000.safetensors,3,97000,4477118.745487,412.422974,2.586421,1962.054565,0.00002568
ckpt_e3_s98000.safetensors,3,98000,4463689.286920,410.554077,2.306373,1957.656616,0.00002560
ckpt_e3_s99000.safetensors,3,99000,4453577.605380,408.904083,2.438250,1953.216187,0.00002551
ckpt_e3_s100000.safetensors,3,100000,4445319.930081,407.285828,2.358975,1948.694336,0.00002543
ckpt_e3_s101000.safetensors,3,101000,4435183.484257,405.952332,2.595380,1944.312988,0.00002534
ckpt_e3_s102000.safetensors,3,102000,4431551.969092,404.741211,3.220785,1939.791382,0.00002525
ckpt_e3_s103000.safetensors,3,103000,4424512.396678,402.546387,2.511379,1935.474854,0.00002516
ckpt_e3_s104000.safetensors,3,104000,4413664.523779,400.794800,2.235726,1931.201660,0.00002508
ckpt_e3_s105000.safetensors,3,105000,4406155.292591,399.592468,2.735214,1926.708984,0.00002499
ckpt_e3_s106000.safetensors,3,106000,4395176.316849,397.664948,2.306292,1922.365234,0.00002490
ckpt_e3_s107000.safetensors,3,107000,4384521.684448,396.239532,2.422729,1918.050049,0.00002481
ckpt_e3_s108000.safetensors,3,108000,4380145.758827,396.066833,3.868692,1913.336670,0.00002472
ckpt_e3_s109000.safetensors,3,109000,4369112.653688,394.396484,3.918530,1908.944702,0.00002463
ckpt_e3_s110000.safetensors,3,110000,4360867.884714,392.384277,3.224513,1904.692505,0.00002453
ckpt_e3_s111000.safetensors,3,111000,4353987.987593,390.181671,2.839322,1900.274536,0.00002444
ckpt_e4_s112000.safetensors,4,112000,3859532.278402,388.492004,2.635427,1896.082764,0.00002435
ckpt_e4_s113000.safetensors,4,113000,3962731.658451,387.070648,2.606555,1891.868652,0.00002426
ckpt_e4_s114000.safetensors,4,114000,3952937.305074,385.845367,3.117512,1887.286865,0.00002416
ckpt_e4_s115000.safetensors,4,115000,3949771.134272,383.947845,2.654871,1883.023315,0.00002407
ckpt_e4_s116000.safetensors,4,116000,3971411.595338,382.342041,2.668261,1878.676392,0.00002397
ckpt_e4_s117000.safetensors,4,117000,3920737.032609,380.668091,2.613229,1874.463623,0.00002388
ckpt_e4_s118000.safetensors,4,118000,3922960.324093,379.118805,2.647239,1870.212280,0.00002378
ckpt_e4_s119000.safetensors,4,119000,3915653.300595,377.598785,2.518172,1865.944580,0.00002368
ckpt_e4_s120000.safetensors,4,120000,3910204.005481,376.423370,2.309712,1862.111694,0.00002358
ckpt_e4_s121000.safetensors,4,121000,3900931.821800,374.377594,2.327257,1857.419067,0.00002349
ckpt_e4_s122000.safetensors,4,122000,3896803.387082,372.847595,2.359840,1853.162720,0.00002339
ckpt_e4_s123000.safetensors,4,123000,3892639.195386,371.698242,2.644397,1848.980591,0.00002329
ckpt_e4_s124000.safetensors,4,124000,3882786.599287,370.495209,2.902195,1844.689819,0.00002319
ckpt_e4_s125000.safetensors,4,125000,3875826.602863,368.521667,2.301311,1840.562012,0.00002309
ckpt_e4_s126000.safetensors,4,126000,3868133.228822,367.304871,2.609065,1836.284790,0.00002299
ckpt_e4_s127000.safetensors,4,127000,3858139.778164,366.073425,2.638336,1832.064697,0.00002289
ckpt_e4_s128000.safetensors,4,128000,3847491.440916,364.502655,2.380710,1828.028076,0.00002279
ckpt_e4_s129000.safetensors,4,129000,3843975.620831,363.419434,2.594355,1823.784668,0.00002269
ckpt_e4_s130000.safetensors,4,130000,3834663.809578,361.782349,2.646520,1819.614990,0.00002258
ckpt_e4_s131000.safetensors,4,131000,3829596.793272,360.099518,2.164994,1815.502197,0.00002248
ckpt_e4_s132000.safetensors,4,132000,3822244.617809,358.822876,2.196768,1811.511841,0.00002238
ckpt_e4_s133000.safetensors,4,133000,3811838.929275,357.556488,2.072475,1807.534180,0.00002228
ckpt_e4_s134000.safetensors,4,134000,3807696.344809,356.133911,2.399549,1803.315796,0.00002217
ckpt_e4_s135000.safetensors,4,135000,3793344.690826,354.923615,2.389584,1799.476685,0.00002207
ckpt_e4_s136000.safetensors,4,136000,3785375.955959,353.570007,2.193756,1795.515625,0.00002196
ckpt_e4_s137000.safetensors,4,137000,3784716.425220,352.085236,2.315033,1791.304321,0.00002186
ckpt_e4_s138000.safetensors,4,138000,3774446.239883,351.069763,2.500985,1787.377686,0.00002175
ckpt_e4_s139000.safetensors,4,139000,3765307.769656,349.810791,2.651223,1783.349976,0.00002165
ckpt_e4_s140000.safetensors,4,140000,3758024.136053,348.630249,2.622295,1779.449219,0.00002154
ckpt_e4_s141000.safetensors,4,141000,3750743.754345,347.225128,2.500533,1775.541748,0.00002143
ckpt_e4_s142000.safetensors,4,142000,3745385.845743,346.228790,2.656171,1771.653076,0.00002133
