ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,100.399788,60.709418,5.508175,3.920989,5.510847,5.508175,0.00010000
ckpt_e2_s3124.safetensors,2,3124,55.992855,53.831565,4.962503,3.295015,5.404177,4.962503,0.00010000
ckpt_e3_s4686.safetensors,3,4686,51.780106,52.658976,4.897186,3.273615,5.355049,4.897186,0.00009999
ckpt_e4_s6248.safetensors,4,6248,50.491938,51.314757,4.768336,3.120785,5.345815,4.768336,0.00009999
ckpt_e5_s7810.safetensors,5,7810,49.381496,50.573520,4.693131,3.010324,5.343037,4.693131,0.00009998
ckpt_e6_s9372.safetensors,6,9372,48.523574,49.862174,4.597696,2.851238,5.359418,4.597696,0.00009997
ckpt_e7_s10934.safetensors,7,10934,47.966657,50.873415,4.728570,3.047301,5.339854,4.728570,0.00009996
ckpt_e8_s12496.safetensors,8,12496,47.091782,49.710271,4.619565,2.912421,5.326340,4.619565,0.00009995
ckpt_e9_s14058.safetensors,9,14058,47.020890,49.910803,4.633535,2.911285,5.333025,4.633535,0.00009993
ckpt_e10_s15620.safetensors,10,15620,46.573439,50.473081,4.675416,2.947056,5.349164,4.675416,0.00009992
ckpt_e11_s17182.safetensors,11,17182,45.928731,51.425914,4.832615,3.198787,5.298277,4.832615,0.00009990
ckpt_e12_s18744.safetensors,12,18744,45.011816,51.594312,4.764233,3.105832,5.375536,4.764233,0.00009988
ckpt_e13_s20306.safetensors,13,20306,44.596176,49.875436,4.612129,2.884169,5.348242,4.612129,0.00009986
ckpt_e14_s21868.safetensors,14,21868,45.160534,50.806976,4.709823,3.014159,5.350192,4.709823,0.00009984
ckpt_e15_s23430.safetensors,15,23430,43.720866,50.246006,4.634754,2.909023,5.363307,4.634754,0.00009981
ckpt_e16_s24992.safetensors,16,24992,43.762414,49.951634,4.620701,2.892609,5.347967,4.620701,0.00009979
ckpt_e17_s26554.safetensors,17,26554,43.615340,49.865280,4.616101,2.891752,5.343865,4.616101,0.00009976
ckpt_e18_s28116.safetensors,18,28116,42.357757,49.079515,4.513849,2.744820,5.357675,4.513849,0.00009973
ckpt_e19_s29678.safetensors,19,29678,40.859961,50.590771,4.663294,2.945590,5.370703,4.663294,0.00009970
ckpt_e20_s31240.safetensors,20,31240,39.996931,50.388140,4.654572,2.923654,5.359394,4.654572,0.00009966
ckpt_e21_s32802.safetensors,21,32802,39.616925,50.109344,4.623070,2.883233,5.360650,4.623070,0.00009963
ckpt_e22_s34364.safetensors,22,34364,38.322351,49.459813,4.548783,2.766527,5.363617,4.548783,0.00009959
ckpt_e23_s35926.safetensors,23,35926,38.115334,49.882729,4.586826,2.813432,5.370638,4.586826,0.00009956
ckpt_e24_s37488.safetensors,24,37488,38.322869,50.139737,4.587487,2.814347,5.393950,4.587487,0.00009952
ckpt_e25_s39050.safetensors,25,39050,45.472946,49.509288,4.564727,2.811731,5.354676,4.564727,0.00009947
ckpt_e26_s40612.safetensors,26,40612,44.419414,49.527707,4.574591,2.819220,5.347974,4.574591,0.00009943
ckpt_e27_s42174.safetensors,27,42174,43.069021,50.157761,4.657999,2.949769,5.334867,4.657999,0.00009939
ckpt_e28_s43736.safetensors,28,43736,43.017930,50.129883,4.644948,2.919594,5.343626,4.644948,0.00009934
ckpt_e29_s45298.safetensors,29,45298,42.527963,49.218514,4.519765,2.762681,5.365654,4.519765,0.00009929
ckpt_e30_s46860.safetensors,30,46860,42.135160,50.268431,4.649824,2.935975,5.352343,4.649824,0.00009924
ckpt_e31_s48422.safetensors,31,48422,41.727209,50.896668,4.676820,2.940292,5.387395,4.676820,0.00009919
ckpt_e32_s49984.safetensors,32,49984,41.374062,50.476796,4.656918,2.929480,5.365623,4.656918,0.00009914
ckpt_e33_s51546.safetensors,33,51546,41.397971,50.653148,4.641778,2.881172,5.395095,4.641778,0.00009909
ckpt_e34_s53108.safetensors,34,53108,41.011428,49.329900,4.555733,2.806397,5.345577,4.555733,0.00009903
ckpt_e35_s54670.safetensors,35,54670,40.482732,50.852396,4.681575,2.921032,5.379150,4.681575,0.00009897
ckpt_e36_s56232.safetensors,36,56232,39.806335,50.506407,4.648404,2.873316,5.375755,4.648404,0.00009891
ckpt_e37_s57794.safetensors,37,57794,39.663354,50.285107,4.652749,2.885758,5.351358,4.652749,0.00009885
ckpt_e38_s59356.safetensors,38,59356,40.125067,49.737011,4.600111,2.847105,5.345652,4.600111,0.00009879
