ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e1_s1562.safetensors,1,1562,5937418.948048,548.779724,3.277944,2293.324707,1029.464355,0.00009998
ckpt_e2_s3124.safetensors,2,3124,6144715.508937,546.201355,3.125672,2290.747803,1026.266113,0.00009991
ckpt_e3_s4686.safetensors,3,4686,5840951.673433,544.194946,2.623165,2287.567383,1023.594910,0.00009980
ckpt_e4_s6248.safetensors,4,6248,5753004.274649,542.701172,2.882896,2283.716309,1021.476685,0.00009963
ckpt_e5_s7810.safetensors,5,7810,5875108.300765,543.783569,5.303495,2278.901855,1022.094971,0.00009943
ckpt_e6_s9372.safetensors,6,9372,6012516.317278,538.396423,2.377192,2274.893066,1015.595581,0.00009917
ckpt_e7_s10934.safetensors,7,10934,5490486.792869,536.200684,2.322843,2269.963135,1012.458374,0.00009887
ckpt_e8_s12496.safetensors,8,12496,5838661.263021,533.969788,2.484926,2264.497559,1009.274109,0.00009852
ckpt_e9_s14058.safetensors,9,14058,5890023.257346,531.560059,2.594879,2258.796143,1005.857971,0.00009813
ckpt_e10_s15620.safetensors,10,15620,5643124.965181,529.082947,2.724963,2252.832275,1002.263428,0.00009769
ckpt_e11_s17182.safetensors,11,17182,5630982.268929,526.030273,2.315418,2246.520020,997.890076,0.00009721
ckpt_e12_s18744.safetensors,12,18744,5705622.079694,523.258301,2.371177,2239.990479,993.910706,0.00009668
ckpt_e13_s20306.safetensors,13,20306,5593993.651829,521.038025,3.156041,2232.958740,990.426575,0.00009611
ckpt_e14_s21868.safetensors,14,21868,6048090.560930,517.519714,2.700956,2225.770020,985.429810,0.00009549
ckpt_e15_s23430.safetensors,15,23430,5354664.550843,514.069824,2.298774,2218.632324,980.510315,0.00009484
ckpt_e16_s24992.safetensors,16,24992,5988520.523646,511.024292,2.588182,2210.779785,975.985718,0.00009414
ckpt_e17_s26554.safetensors,17,26554,4802468.136376,507.903137,2.675165,2203.321289,971.430115,0.00009340
