ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr
ckpt_e1_s1000.safetensors,1,1000,71.756895,5.760787,4.672566,3.257183,0.00010000
ckpt_e1_s2000.safetensors,1,2000,53.516673,4.310503,2.987951,3.635269,0.00010000
ckpt_e1_s3000.safetensors,1,3000,44.756884,3.858673,2.569922,3.666258,0.00010000
ckpt_e1_s4000.safetensors,1,4000,39.598603,3.609638,2.196020,3.803720,0.00010000
ckpt_e1_s5000.safetensors,1,5000,35.997049,3.117797,1.704629,3.864989,0.00009999
ckpt_e1_s6000.safetensors,1,6000,33.319800,3.335365,1.981820,3.772394,0.00009999
ckpt_e1_s7000.safetensors,1,7000,31.343271,2.890980,1.455473,3.888504,0.00009999
ckpt_e1_s8000.safetensors,1,8000,29.796460,3.008487,1.621392,3.852815,0.00009998
ckpt_e1_s9000.safetensors,1,9000,28.560032,3.119787,1.690587,3.835818,0.00009998
ckpt_e1_s10000.safetensors,1,10000,27.573926,2.948792,1.508836,3.861814,0.00009997
ckpt_e1_s11000.safetensors,1,11000,26.711228,2.788991,1.350727,3.889463,0.00009997
ckpt_e1_s12000.safetensors,1,12000,25.967597,2.785129,1.349772,3.883630,0.00009996
ckpt_e1_s13000.safetensors,1,13000,25.386003,2.775242,1.346106,3.893727,0.00009995
ckpt_e1_s14000.safetensors,1,14000,24.827862,2.727198,1.313130,3.886699,0.00009995
ckpt_e1_s15000.safetensors,1,15000,24.355087,2.767651,1.355584,3.856975,0.00009994
ckpt_e1_s16000.safetensors,1,16000,23.941847,2.727022,1.303002,3.892789,0.00009993
ckpt_e1_s17000.safetensors,1,17000,23.552472,2.695924,1.278072,3.878587,0.00009992
ckpt_e1_s18000.safetensors,1,18000,23.210685,2.740102,1.327744,3.860879,0.00009991
ckpt_e1_s19000.safetensors,1,19000,22.891043,2.700381,1.294132,3.890616,0.00009990
ckpt_e1_s20000.safetensors,1,20000,22.599611,2.691195,1.263739,3.882370,0.00009989
ckpt_e1_s21000.safetensors,1,21000,22.333435,2.701106,1.282735,3.863990,0.00009988
ckpt_e1_s22000.safetensors,1,22000,22.094409,2.797360,1.407511,3.829952,0.00009986
ckpt_e1_s23000.safetensors,1,23000,21.861758,2.827291,1.409381,3.853233,0.00009985
ckpt_e1_s24000.safetensors,1,24000,21.650853,2.671508,1.266393,3.874825,0.00009984
ckpt_e1_s25000.safetensors,1,25000,21.460451,2.641719,1.221633,3.877177,0.00009983
ckpt_e1_s26000.safetensors,1,26000,21.263820,2.693956,1.269737,3.877687,0.00009981
ckpt_e1_s27000.safetensors,1,27000,21.097874,2.621522,1.215017,3.879689,0.00009980
ckpt_e1_s28000.safetensors,1,28000,20.923500,2.722293,1.324592,3.851275,0.00009978
ckpt_e1_s29000.safetensors,1,29000,20.769201,2.728948,1.322498,3.858528,0.00009976
ckpt_e1_s30000.safetensors,1,30000,20.617135,2.630822,1.219479,3.874097,0.00009975
ckpt_e1_s31000.safetensors,1,31000,20.478960,2.678767,1.289289,3.833924,0.00009973
ckpt_e1_s32000.safetensors,1,32000,20.332967,2.592202,1.194210,3.875367,0.00009971
ckpt_e1_s33000.safetensors,1,33000,20.214101,2.675328,1.290165,3.844825,0.00009970
ckpt_e1_s34000.safetensors,1,34000,20.080018,2.642819,1.235739,3.866178,0.00009968
ckpt_e1_s35000.safetensors,1,35000,19.965824,2.637192,1.238986,3.850158,0.00009966
ckpt_e1_s36000.safetensors,1,36000,19.848130,2.779192,1.369253,3.830771,0.00009964
ckpt_e1_s37000.safetensors,1,37000,19.741650,2.651557,1.276695,3.821950,0.00009962
ckpt_e2_s38000.safetensors,2,38000,15.875039,2.598398,1.209828,3.856391,0.00009960
ckpt_e2_s39000.safetensors,2,39000,15.914855,2.618907,1.249115,3.838240,0.00009957
ckpt_e2_s40000.safetensors,2,40000,15.818425,2.541663,1.154594,3.861899,0.00009955
ckpt_e2_s41000.safetensors,2,41000,15.757393,2.598611,1.230550,3.839912,0.00009953
ckpt_e2_s42000.safetensors,2,42000,15.697684,2.547322,1.175021,3.852165,0.00009951
ckpt_e2_s43000.safetensors,2,43000,15.675635,2.607358,1.236144,3.834817,0.00009948
ckpt_e2_s44000.safetensors,2,44000,15.627322,2.548732,1.172781,3.839652,0.00009946
