ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,138.222743,15.644402,15.621819,2.817504,0.00001000,37.776606
ckpt_e1_s2000.safetensors,1,2000,136.168280,15.517772,15.478803,2.899974,0.00001000,37.776606
ckpt_e1_s3000.safetensors,1,3000,134.925320,15.460585,15.411201,2.924087,0.00001000,37.776606
ckpt_e1_s4000.safetensors,1,4000,134.079561,15.427689,15.378333,2.996681,0.00001000,37.776606
ckpt_e1_s5000.safetensors,1,5000,133.490775,15.407273,15.344511,3.018636,0.00001000,37.776606
ckpt_e1_s6000.safetensors,1,6000,133.028289,15.395033,15.326166,3.047940,0.00001000,37.776606
ckpt_e1_s7000.safetensors,1,7000,132.659768,15.378870,15.317080,2.973878,0.00001000,37.776606
ckpt_e1_s8000.safetensors,1,8000,132.357199,15.372122,15.334349,3.022711,0.00001000,37.776606
ckpt_e1_s9000.safetensors,1,9000,132.090557,15.348144,15.307114,3.023575,0.00001000,37.776606
ckpt_e1_s10000.safetensors,1,10000,131.847468,15.317765,15.333999,3.069931,0.00001000,37.776606
ckpt_e1_s11000.safetensors,1,11000,131.593433,15.297589,15.337824,3.143605,0.00001000,37.776606
ckpt_e1_s12000.safetensors,1,12000,131.362500,15.278859,15.334545,3.105976,0.00001000,37.776606
ckpt_e1_s13000.safetensors,1,13000,131.132796,15.261609,15.342030,3.184783,0.00001000,37.776606
ckpt_e1_s14000.safetensors,1,14000,130.923386,15.253784,15.313471,3.115273,0.00000999,37.776606
ckpt_e1_s15000.safetensors,1,15000,130.723996,15.242848,15.325043,3.170232,0.00000999,37.776606
ckpt_e1_s16000.safetensors,1,16000,130.540845,15.234033,15.324988,3.187823,0.00000999,37.776606
ckpt_e1_s17000.safetensors,1,17000,130.377430,15.236795,15.305951,3.196728,0.00000999,37.776606
ckpt_e1_s18000.safetensors,1,18000,130.230071,15.229913,15.288555,3.123326,0.00000999,37.776606
ckpt_e1_s19000.safetensors,1,19000,130.088841,15.233825,15.293937,3.167897,0.00000999,37.776606
ckpt_e1_s20000.safetensors,1,20000,129.962782,15.243490,15.299692,3.231941,0.00000999,37.776606
ckpt_e1_s21000.safetensors,1,21000,129.842672,15.226560,15.294441,3.192620,0.00000999,37.776606
ckpt_e1_s22000.safetensors,1,22000,129.739648,15.225485,15.286583,3.153148,0.00000999,37.776606
