ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,60.939153,6.294358,4.714671,4.514251,0.00003000,37.776606
ckpt_e1_s2000.safetensors,1,2000,46.170174,5.632166,4.067098,4.656949,0.00003000,37.776606
ckpt_e1_s3000.safetensors,1,3000,39.900877,4.968332,3.108999,4.780505,0.00003000,37.776606
ckpt_e1_s4000.safetensors,1,4000,36.296689,4.774820,2.875480,4.826227,0.00002999,37.776606
ckpt_e1_s5000.safetensors,1,5000,33.911927,4.949231,3.189878,4.783447,0.00002999,37.776606
ckpt_e1_s6000.safetensors,1,6000,32.264076,4.806382,3.009555,4.811120,0.00002998,37.776606
ckpt_e1_s7000.safetensors,1,7000,31.031843,4.724306,2.869933,4.834729,0.00002998,37.776606
ckpt_e1_s8000.safetensors,1,8000,30.090859,4.531831,2.571121,4.869954,0.00002997,37.776606
ckpt_e1_s9000.safetensors,1,9000,29.275238,4.496453,2.544167,4.864863,0.00002996,37.776606
ckpt_e1_s10000.safetensors,1,10000,28.547597,4.347122,2.285040,4.918211,0.00002995,37.776606
ckpt_e1_s11000.safetensors,1,11000,27.925360,4.187659,2.110588,4.952750,0.00002994,37.776606
ckpt_e1_s12000.safetensors,1,12000,27.388846,4.240149,2.148427,4.946713,0.00002993,37.776606
ckpt_e1_s13000.safetensors,1,13000,26.922402,4.215051,2.120691,4.944807,0.00002992,37.776606
ckpt_e1_s14000.safetensors,1,14000,26.492188,4.070460,1.952769,4.985029,0.00002991,37.776606
ckpt_e1_s15000.safetensors,1,15000,26.120528,4.129675,2.033229,4.951000,0.00002989,37.776606
ckpt_e1_s16000.safetensors,1,16000,25.777892,3.979110,1.858037,4.993510,0.00002988,37.776606
ckpt_e1_s17000.safetensors,1,17000,25.465349,4.055078,1.914824,4.994352,0.00002986,37.776606
ckpt_e1_s18000.safetensors,1,18000,25.188220,3.886586,1.759630,5.014918,0.00002984,37.776606
ckpt_e1_s19000.safetensors,1,19000,24.946639,4.068689,2.009375,4.942611,0.00002983,37.776606
ckpt_e1_s20000.safetensors,1,20000,24.703224,3.945815,1.831879,4.989400,0.00002981,37.776606
ckpt_e1_s21000.safetensors,1,21000,24.470983,3.821050,1.723054,5.022146,0.00002979,37.776606
ckpt_e1_s22000.safetensors,1,22000,24.270042,3.841066,1.731329,5.010589,0.00002977,37.776606
ckpt_e1_s23000.safetensors,1,23000,24.076884,3.833867,1.778974,4.994213,0.00002975,37.776606
ckpt_e1_s24000.safetensors,1,24000,23.888638,3.715451,1.631129,5.028675,0.00002972,37.776606
ckpt_e1_s25000.safetensors,1,25000,23.721476,3.706557,1.600575,5.040420,0.00002970,37.776606
ckpt_e1_s26000.safetensors,1,26000,23.556144,3.767092,1.678851,5.026005,0.00002967,37.776606
ckpt_e1_s27000.safetensors,1,27000,23.400131,3.698092,1.652349,5.020678,0.00002965,37.776606
ckpt_e1_s28000.safetensors,1,28000,23.263693,3.613365,1.531590,5.046376,0.00002962,37.776606
ckpt_e1_s29000.safetensors,1,29000,23.118007,3.707370,1.635381,5.012717,0.00002960,37.776606
ckpt_e1_s30000.safetensors,1,30000,22.987860,3.570971,1.490486,5.056164,0.00002957,37.776606
ckpt_e1_s31000.safetensors,1,31000,22.859634,3.588906,1.502153,5.054030,0.00002954,37.776606
ckpt_e1_s32000.safetensors,1,32000,22.741493,3.587980,1.526545,5.034059,0.00002951,37.776606
ckpt_e1_s33000.safetensors,1,33000,22.629129,3.529753,1.450380,5.057954,0.00002948,37.776606
ckpt_e1_s34000.safetensors,1,34000,22.516074,3.545006,1.455877,5.057232,0.00002944,37.776606
ckpt_e1_s35000.safetensors,1,35000,22.420875,3.553455,1.480134,5.045555,0.00002941,37.776606
ckpt_e1_s36000.safetensors,1,36000,22.317839,3.539119,1.459019,5.049427,0.00002938,37.776606
ckpt_e1_s37000.safetensors,1,37000,22.216332,3.508183,1.426908,5.054695,0.00002934,37.776606
ckpt_e2_s38000.safetensors,2,38000,12.010703,3.504136,1.393576,5.070755,0.00002931,37.776606
ckpt_e2_s39000.safetensors,2,39000,11.846492,3.542570,1.435899,5.053227,0.00002927,37.776606
ckpt_e2_s40000.safetensors,2,40000,11.838995,3.562370,1.452593,5.054087,0.00002923,37.776606
ckpt_e2_s41000.safetensors,2,41000,11.819375,3.422518,1.329545,5.079453,0.00002919,37.776606
ckpt_e2_s42000.safetensors,2,42000,11.775579,3.432990,1.336668,5.074617,0.00002915,37.776606
ckpt_e2_s43000.safetensors,2,43000,11.717868,3.448256,1.377120,5.053774,0.00002911,37.776606
ckpt_e2_s44000.safetensors,2,44000,11.698546,3.412075,1.301879,5.087716,0.00002907,37.776606
ckpt_e2_s45000.safetensors,2,45000,11.673597,3.444154,1.371865,5.067892,0.00002903,37.776606
