ckpt_name,epoch,step,avg_loss,acc_mean,acc_median,acc_std,lr,huber_loss_delta
ckpt_e1_s1000.safetensors,1,1000,111.025236,11.240041,10.616758,3.325761,0.00003000,37.776606
ckpt_e1_s2000.safetensors,1,2000,92.693986,9.379164,8.499096,3.679007,0.00003000,37.776606
ckpt_e1_s3000.safetensors,1,3000,81.138387,7.911394,6.758322,4.084075,0.00003000,37.776606
ckpt_e1_s4000.safetensors,1,4000,72.627031,6.966680,5.613396,4.342069,0.00002999,37.776606
ckpt_e1_s5000.safetensors,1,5000,66.200873,6.253410,4.699853,4.534740,0.00002999,37.776606
ckpt_e1_s6000.safetensors,1,6000,61.109184,5.740539,4.006907,4.685797,0.00002998,37.776606
ckpt_e1_s7000.safetensors,1,7000,57.026207,5.455346,3.667296,4.763319,0.00002998,37.776606
ckpt_e1_s8000.safetensors,1,8000,53.724434,5.127642,3.252891,4.822984,0.00002997,37.776606
ckpt_e1_s9000.safetensors,1,9000,50.962674,5.011554,3.116203,4.857322,0.00002996,37.776606
ckpt_e1_s10000.safetensors,1,10000,48.661930,4.847322,2.897440,4.889518,0.00002995,37.776606
ckpt_e1_s11000.safetensors,1,11000,46.755963,4.912839,3.019012,4.882657,0.00002994,37.776606
ckpt_e1_s12000.safetensors,1,12000,45.092406,4.716998,2.739979,4.913638,0.00002993,37.776606
ckpt_e1_s13000.safetensors,1,13000,43.657850,4.783454,2.850536,4.909509,0.00002992,37.776606
ckpt_e1_s14000.safetensors,1,14000,42.422634,4.620172,2.631993,4.916955,0.00002991,37.776606
ckpt_e1_s15000.safetensors,1,15000,41.321785,4.628000,2.673429,4.906423,0.00002989,37.776606
ckpt_e1_s16000.safetensors,1,16000,40.329746,4.519853,2.453106,4.971314,0.00002988,37.776606
ckpt_e1_s17000.safetensors,1,17000,39.422617,4.286508,2.224873,4.989438,0.00002986,37.776606
ckpt_e1_s18000.safetensors,1,18000,38.587050,4.447234,2.418626,4.952011,0.00002984,37.776606
ckpt_e1_s19000.safetensors,1,19000,37.827730,4.319444,2.209240,5.014805,0.00002983,37.776606
ckpt_e1_s20000.safetensors,1,20000,37.113848,4.211571,2.105913,5.025377,0.00002981,37.776606
ckpt_e1_s21000.safetensors,1,21000,36.480053,4.179629,2.079303,5.031369,0.00002979,37.776606
ckpt_e1_s22000.safetensors,1,22000,35.885402,4.200813,2.086238,5.025727,0.00002977,37.776606
ckpt_e1_s23000.safetensors,1,23000,35.340860,4.065638,1.932778,5.061331,0.00002975,37.776606
ckpt_e1_s24000.safetensors,1,24000,34.828114,4.185457,2.067422,5.032140,0.00002972,37.776606
ckpt_e1_s25000.safetensors,1,25000,34.354754,4.000831,1.862669,5.063651,0.00002970,37.776606
ckpt_e1_s26000.safetensors,1,26000,33.904027,4.017435,1.904819,5.058661,0.00002967,37.776606
ckpt_e1_s27000.safetensors,1,27000,33.494045,4.024649,1.891803,5.053553,0.00002965,37.776606
ckpt_e1_s28000.safetensors,1,28000,33.108763,4.155247,2.052231,5.015610,0.00002962,37.776606
ckpt_e1_s29000.safetensors,1,29000,32.749715,3.915491,1.776713,5.087876,0.00002960,37.776606
ckpt_e1_s30000.safetensors,1,30000,32.401845,3.985401,1.870213,5.042284,0.00002957,37.776606
ckpt_e1_s31000.safetensors,1,31000,32.074250,3.980415,1.857556,5.068394,0.00002954,37.776606
